,,0
68,4, Viologen mediator
69,0,ADC
69,1, comparator
69,2, low power
69,3, SAR
69,4, subthrehold operation
69,5, ultra low supply
69,6, variations
70,0,Cooling rate
70,1, Friction welding
70,2, Microstructure control
70,3, Rotary friction welding
70,4, Temperature control
70,5, Transformation
73,0,Finite element analysis (FEA)
73,1, Nanocomposite
73,2, Percolation theory
73,3, Piezoresistive sensor
75,0,Chained pseudo-rigid-body model
75,1, Compliant mechanisms
75,2, Contact analysis
75,3, Large deflection
76,0,Ash
76,1, Biomass
76,3, Non-catalytic
77,0,Density functional theory
77,1, Generalized grids
77,2, k-point grids
77,3, k-point sampling
77,4, Monkhorst-Pack
77,5, Regular grids
78,0,Electromagnetic isolation
78,1, frequency division duplexing
78,2, microwave printed circuit board
78,3, small aircraft
78,4, x band
79,0,Gas chromatography
79,1, MEMS
79,2, microcolumn
79,3, silicon DRIE
79,4, thermal gradient
81,0,Natural convection
81,1, Slip length
81,2, Superhydrophobic surface
81,3, Temperature jump length
81,4, Vertical wall
82,0,Alumina
82,1, Catalysis
82,3, Oxidative dehydrogenation
82,4, Silica
83,0,Auto tuning
83,1, Friction stir welding
83,2, Relay feedback test
83,3, System identification
84,0,Aged parameter estimation
84,1, Battery management systems
84,2, BCJR Algorithm
84,3, Interacting multiple model Kalman filter
84,4, Lithium ion battery
84,5, Viterbi algorithm
85,1, compressed sensing
85,2, frequency-selective multi-path
85,3, sparse channel
85,4, sparse equalizers
85,5, transmit diversity
86,0,Discrete ordinates method
86,1, Heat transfer
86,2, Iron ore
86,3, Rotary Kiln
88,0,back stress
88,1, cpfem
88,2, ebsd
88,3, gnd
88,4, tantalum
89,0,Environmental dynamic capability
89,1, Green human resource management bundles
89,2, Green product innovation
89,3, Green team creativity
89,4, Technological turbulence
91,0,drug delivery
91,1, latanoprost
91,2, Silicone hydrogel contact lens
91,3, swelling
92,0,Ceragenins
92,1, Human cathelicidin
92,2, LL-37 peptide
92,3, Membrane active compounds
92,4, Nanoantibiotics
92,5, Nanomedicine
92,6, Nanotechnology
95,0,bubble
95,1, flow optimization
95,2, in situ
95,3, LCM
95,4, Void
96,0,Computational modeling
96,1, Integrated circuit modeling
96,2, Integrated Optics
96,3, Photonics
96,5, Scattering
96,6, Scattering parameters
96,7, Simulation
96,8, Tools
96,9, Transmission line matrix methods
97,0,Adaptive thinking
97,1, Aptitudes
97,2, Creative thinking
97,3, Design thinking
97,4, Divergent thinking
97,5, Tolerance for ambiguity
97,6, Visual thinking
98,0,Common-sense reasoning
98,1, Language model evaluation
98,2, Language models
98,3, Sentence embeddings
98,4, Word embeddings
99,0,mems
99,1, nanofluidics
99,2, thin films
100,0,Common cause failure
100,1, Continuous time Markov chains
100,2, Systems with repair
100,3, Triple modular redundancy (TMR)
101,0,dynamics
101,1, Flexible arms
101,2, force control
101,3, motion control
102,0,Envelope Methods
102,1, Multi-Resolution
102,2, Multi-User CAD
102,3, Partitioning Methods
102,4, Planar Decomposition
103,0,Acoustic response
103,3, Impact-echo testing
108,0,Detection
108,1, Information security
108,2, Machine learning
108,3, Malware
108,4, Neural networks
108,5, Offensive
109,0,Bragg diffraction
109,1, Lattice deformation
109,3, Shock physics
109,4, Single crystal model
109,5, X-ray
112,0,Configuration scrubbing
112,1, fault injection
112,2, field-programmable gate arrays (FPGAs)
112,3, radiation testing
112,4, single-event effects (SEEs)
112,5, single-event upset (SEU)
112,6, single-point failure (SPF)
112,7, triple modular redundancy (TMR)
113,0,Field-programmable gate arrays (FPGAs)
113,1, multiple-bit upset (MBU)
113,2, multiple-cell upset (MCU)
114,0,Electromagnetic excitation
114,1, Nondestructive evaluation
114,2, Nondestructive testing
114,3, Nonlinear resonant ultrasound spectroscopy
115,0,Chained-beam-constraint model
115,1, Contact-aided compliant mechanism
115,2, Cross-Axis Flexural Pivot
115,3, Multi software framework
116,0,Drilling automation
116,1, Managed pressure drilling
116,2, Nonlinear model predictive control
116,3, Physics-based drilling flow model
116,4, Pressure control
119,0,Effective area
119,1, gain-enhancement
119,2, minimum scattering antennas (MSAs)
119,3, parasitic elements
119,4, Poynting vector streamlines
119,5, receiving antennas
120,0,Bénard convection
120,1, Taylor-Couette flow
122,0,brain tumors
122,1, complex networks
122,2, Convolutional neural network
122,3, network generator
122,4, randomly generated graph
123,0,Silent data corruption (SDC)
123,2, soft errors
123,3, software fault tolerance
126,0,Augmented reality
126,1, Force feedback
126,2, Microsoft Hololens
126,3, Motion planning
126,4, Robotic arm
127,0,Signal aliasing
127,1, Structural health monitoring
127,2, Sub-Nyquist sampling
127,3, Vibro-acoustics
127,4, Video processing
128,0,Batteries
128,1, Battery charger
128,2, Battery chargers
128,3, control scheme
128,4, high power efficiency.
128,5, Inductors
128,6, quick charging
128,7, small size
128,8, Switches
128,9, Universal Serial Bus
128,10, Zero current switching
128,11, Zero voltage switching
129,0,atomic beams
129,1, atomic physics
129,2, atomic sensors
129,3, microfabricated vapor cells
129,4, optical frequency standards
129,5, quantum metrology
132,0,healthcare cost
132,1, medical error
132,2, operational failures
132,3, survey
132,4, workarounds
135,0,Auto-induction
135,1, Autoinduction
135,2, Cell-free protein synthesis
135,3, CFPS
135,4, Clearcoli
135,5, Crisantaspase
135,6, Endotoxin-free
136,0,Cylindrical developable mechanism
136,2, Developable surface
136,3, Morphing mechanism
139,0,Clustering
139,1, External metrics
139,2, Noise
140,0,CT analysis
140,1, damage mechanics
140,2, porosity
140,3, Resin transfer moulding
141,0,Boundary element methods
141,1, Collocation
141,3, Linear elasticity
141,4, Patch tests
141,5, T-splines
142,0,Coset coding
142,1, Physicallayer security
142,2, Quadrature amplitude modulation
142,3, Security gap
144,0,Annotating
144,1, Camera
144,2, IMU
144,3, Labeling
144,4, Synchronization
144,5, Video
145,0,Calibration
145,1, cryptography
145,2, multiple-input-multiple-output (MIMO) systems
145,3, reciprocity principle
145,4, security
146,0,air conditioning
146,1, endotoxin
146,2, evaporative cooling
146,3, house dust-mite
146,4, hygiene hypothesis
146,5, β-(1 → 3)-d-glucans
151,0,Approximation algorithms
151,1, linear systems
151,2, model reduction
152,0,Image gradient
152,1, Image quality assessment
152,2, Local binary pattern
152,3, No-reference
152,4, Phase congruency
153,0,compliant mechanisms
153,1, heat set
153,2, origami
153,3, origami manufacturing
153,4, polyethylene terephthalate
154,0,artificial neural networks (ANNs)
154,1, connection weight approach
154,2, data mining
154,3, Discrete event simulation (DES)
159,0,Continuous phase modulation (CPM)
159,1, equalization
159,2, frequency selective multipath
160,1, Communication irregularities
160,2, Network observability
161,0,Parameter Estimation
161,1, Reduced Order Systems
161,2, System Identification
162,0,Applied origami
162,2, Folding
162,3, Sacrificial joints
163,0,Building damage mapping
163,1, Seismic foundation performance
163,2, Site response
163,3, Structural resonance
164,0,bending modulus
164,1, carbon infiltrated-carbon nanotubes
164,2, carbon nanotubes
164,3, density
164,4, non-destructive testing
164,5, Raman spectroscopy
165,1, conductive ink
165,2, electronic packaging9large area projection sintering
165,3, harsh environmental testing
165,4, hybrid electronics
165,5, printed electronics
166,0,Exercise response
166,1, Feedback control
166,2, Gulf War Illness
166,3, Immune dynamics
166,4, Oscillatory behavior
169,0,Convective heat transfer
169,1, Isoflux wall
169,2, Jet impingement
170,0,image quality assessment
170,1, image structure
170,2, just-noticeable difference
170,3, local binary pattern
170,4, reduced-reference
173,0,biophotonics
173,1, biosensor
173,2, hydrodynamic focusing
173,3, liquid-core waveguide
173,4, multi-spot excitation
173,5, optofluidics
174,0,human robot interaction
174,1, robotics
174,2, transparency
175,0,Bootstrapped switch
175,1, DAC
175,2, SAR ADC
175,3, Time interleaved
176,0,Arduino
176,1, Control Engineering Education
176,2, PID Control
177,3, time interleaved
178,0,clinical decision support system (CDSS)
178,1, Erectile dysfunction (ED)
178,2, genetic algorithm (GA)
178,3, National Health Insurance Research Database (NHIRD)
178,4, support vector machine (SVM)
180,0,Folding kinetics
180,1, G-quadruplex
180,2, Hydrodynamic flow focusing
180,3, Micromixer
180,4, Three-dimensional focusing
181,0,Phase transformation
181,1, Pore structure evolution
181,2, Silica doped alumina
181,3, Thermal and hydrothermal stability
181,4, Transitional alumina
182,0,Binder jetting
182,1, Materials
182,2, Post-processing
182,3, Powder deposition
182,4, Sintering
182,5, Wetting
186,0,Gaussian wiretap channel
186,1, Physical-layer security
186,2, practical secrecy coding
187,0,Dissimilar
187,1, Friction stir scribe technology
187,2, Intermetallic
187,3, Kinetic
187,4, Thermodynamic
188,1, Ballistic fabric
188,3, Impact behavior
189,0,ARL
189,1, Cusum
189,2, EWMA
189,3, Phase II monitoring
189,4, variability
194,0,Design ethnography
194,1, Design for the developing world
194,2, Engineering for global development
194,3, Low resource
194,4, Poverty alleviation
194,5, Resource-poor
196,0,fault injection
196,1, Fault tolerance
196,2, FPGA
196,5, RISC-V
196,6, Single Event Upset (SEU)
196,7, soft processor
196,8, Triple Modular Redundancy (TMR)
197,0,Assessment
197,1, instructor feedback
197,2, oral presentations
197,3, peer feedback.
199,0,Coining
199,1, Dislocation density
199,2, EBSD
199,3, Metals
199,4, Microforming
199,5, Microstructure formation
200,0,Brightness temperature
200,1, Calibrated Passive Microwave Daily Equal-Area Scalable Earth Grid 20 Brightness Temperature (CETB)
200,2, radiometer
200,3, reconstruction
200,4, Soil Moisture Active Passive (SMAP)
201,0,Curved folding
201,1, developable
201,2, energy
202,0,Contact time
202,1, Droplet impact
202,3, Superhydrophobic surfaces
207,0,Isogeometric analysis
207,1, Linear independence
207,2, Local refinement
208,0,Dislocations
208,2, Molecular dynamics
210,0,Automated inspection
210,1, Dam inspection
210,2, Multi-Scale
210,3, Structure from motion
210,4, Unmanned aerial vehicles
210,5, View-planning
212,0,gyroscope
212,1, gyrostabilizer
212,2, hand
212,3, suppression
212,4, Tremor
212,5, wrist
218,0,Radar scattering
218,1, RapidScat
218,2, scatterometer
218,3, wind
219,0,Backscatter
219,1, Backus-Gilbert (BG)
219,3, sampling
219,5, scatterometer image reconstruction (SIR)
219,6, variable aperture
220,0,Security
220,1, Two-factor authentication
220,2, Usability
220,3, Usable security
222,0,Audience awareness
222,1, case-method
222,2, pedagogy
222,3, report and proposal writing
223,0,Acoustic scattering
223,1, Finite element
223,2, High frequency scattering
223,3, High order local absorbing boundary condition
223,4, Isogeometric analysis (IGA)
223,5, Very low frequency
224,0,Chiller
224,1, Dynamic optimization
224,2, Mixed-integer quadratic programming
224,3, Thermal energy storage
225,0,Big data classification
225,1, Diffusion maps
225,2, Manifold learning
225,3, Parameter identification
225,4, WECC load model
227,0,Electron microscopy
227,2, Twinning
227,3, VPSC
228,0,Earthquakes
228,1, Infrastructure
228,2, Seismic risk
228,4, Soil-structure-interaction
229,0,Additive manufacturing (AM)
229,2, coplanar waveguide (CPW)
229,4, surface roughness
229,5, thermal smoothing (TS)
229,6, vapor smoothing (VS)
230,0,A. Fabrics/textiles
230,1, B. Permeability
230,2, D. Process monitoring
230,3, E. Liquid composite molding
230,4, E. Resin flow
231,0,Bioorthogonal chemistry
231,1, Biotechnology
231,2, Metabolic labeling
231,3, Proteomics
231,4, Residue-specific labeling
231,5, Site-specific labeling
234,0,design critique
234,1, design education
234,2, ethics
234,3, philosophy of design
234,4, reasoning
236,0,Functional data analysis
236,1, Internal knee extension moment
236,2, Knee flexion angle
236,3, Vertical ground reaction force
236,4, Waveform analysis
237,0,Bag-of-features model
237,1, Chinese food
237,3, Recognition
238,0,Compliant mechanisms
238,1, Dynamic stiffness matrix
238,2, Flexure hinge
238,3, Micro-/nano positioning
240,0,adaptive filtering
240,1, physical-layer security
240,2, self-jamming
241,0,Adaptive physical-layer security
241,1, coding for secrecy
241,2, interleaving
241,3, puncturing
241,4, scrambling
242,0,DTPA-BIGA
242,1, DTPABMA
242,2, Gadolinium retention
242,3, Gd-DTPA-BIGA
242,4, Gd-DTPA-BMA
242,5, ICP-MS
242,6, Transmetallation
242,7, Zinc sink
243,0,Grain boundaries
243,1, High-throughput simulations
243,2, Materials informatics
243,3, Metallic glasses
243,4, Structure-property relationships
244,0,Basis Vectors
244,1, Crystal Structure
244,2, Database
244,3, Lattice Vectors
244,4, Space Groups
244,5, Wyckoff Positions
247,0,Grassroots adoption
247,1, Paired participants
247,2, PGP
247,3, Secure email
249,0,Equalization
249,2, maximum likelihood sequence estimation
249,3, SOQPSK
250,0,"Chondrodysplasia (cho, col11a1)"
250,1, High temperature requirement A1 serine protease (HtrA1)
250,2, Losartan
250,3, Osteoarthritis (OA)
250,4, Temporomandibular joint (TMJ)
250,5, Transforming growth factor-beta 1 (TGF-β1)
252,0,Friction stir welding
252,1, Numerical simulation
252,2, Recrystallized grain size
252,3, Stainless steel
253,0,Physical layer security
253,1, Polar codes
253,3, Wiretap channel
254,0,mapping
254,2, SLAM
255,0,Compatibility
255,1, Deformation
255,2, Grouted prisms
255,3, High-strength masonry
255,4, Hollow prisms
255,5, Masonry efficiency
255,6, Masonry grout
255,7, Shrinkage compensating admixtures
258,0,Air-coupled impact-echo testing
258,1, Chain dragging
259,0,Beam steering
259,1, multiple-input multiple-output (MIMO) systems
259,2, mutual coupling
259,3, radar antennas
261,0,Crystallographic orientation
261,1, Hydrogen embrittlement
261,2, Recovery
261,3, Steel
262,0,capabilities
262,1, excess
262,2, Over-design
262,3, redesign
262,4, requirements
264,0,Biocompatible
264,1, Flexible
264,2, III-nitride
264,3, Piezoelectric generators
264,4, Self-powered system
264,5, Thin film
265,0,Nondestructive evaluation
265,3, Stress corrosion cracking
266,0,Biofabrication
266,1, DNA
266,2, Nanofabrication
266,3, Roadmap
266,4, Semiconductors
269,0,Finite element modeling
269,1, Stiffness
269,2, Tissue properties
269,3, Transverse compression
269,4, Young's modulus
270,2, pneumatic actuators
270,4, robot kinematics
270,5, soft robotics
270,6, state estimation
270,7, visual servoing
271,0,Heat transfer
271,1, Mass transfer
271,2, Natural convection
271,3, Nucleation
271,4, Superhydrophobic
273,0,CS education
273,1, CS for All
273,2, K-12
274,0,Deformable capsule
274,1, IGA
274,2, Pulsatile flow
274,3, T-spline
275,0,complex systems
275,1, Drenick's theorem
275,2, exponential distribution
275,3, failure law
276,0,Array antennas
276,1, element-gain paradox
276,3, Poynting streamlines
277,0,DAC layout
277,1, DAC settling
277,3, timing scheme
278,0,Brittle crack
278,1, Crack interaction
278,2, Graph theory
278,4, Reduced-order models
281,0,Ensembles
281,1, Multiple Choice Learning
284,0,Computational differential geometry
284,1, Manifold boundary approximation method
284,2, Model reduction
284,3, Parameter identifiability
284,4, Power system modeling
291,0,Computer vision
291,1, Image processing
291,3, Mode shape identification
291,4, PCA
292,0,Alassroom archive
292,1, Industrial design history
292,2, Instagram search
292,3, Instagram student presentations
292,4, Social media
293,0,Class room design
293,1, Creativity pedagogy
293,2, Industrial design
293,3, Student learning
293,4, Studio environment
294,0,Communication
294,1, Design education
294,2, Interdisciplinary education
294,3, Interdisciplinary teams
297,0,Big data
297,1, Design methods
297,2, Persona
297,3, Persona Generator
297,4, User centred design
298,0,Learning in games
298,1, Repeated interactions
298,2, Trigger strategies
299,0,Dense phase
299,1, Fluidization
299,3, Pressurized coal
299,4, Transport
302,0,Behavior trees
302,1, Grammatical evolution
302,2, Swarms
307,0,Frequency response
307,1, Leap motion controller
307,2, Markerless motion capture
317,0,Best Practices
317,1, Impact Assessment
317,2, Service Learning
325,0,Clean water
325,1, Cup seal
325,4, Hand pump
325,5, India Mark
325,6, Village Drill
326,1, Signal processing
328,0,Design intent
328,1, Neutral format
328,2, Parametric design
328,3, XML
329,0,FTIR
329,1, Particle combustion
329,2, Radiation
331,0,Aluminum mirror coatings
331,1, FUV
331,2, Lifetime
331,3, Magnesium fluoride
331,4, Oxidation
331,5, Quality assurance
331,6, Spectroscopic ellipsometry
331,7, XPS
332,1, Lab on a chip
332,2, Microfluidics
332,3, Stereolithography
336,0,Laser ablation
336,1, Magnesium
336,2, Micro machining
338,0,Automated assessment
338,1, software tools in control
338,2, student expectations
341,0,Multi-robot systems
341,1, nonlinear filters
341,2, nonlinear observability
343,0,Ethical climate
343,1, Ethics
343,2, Mixed-methods
350,0,Biophotonics
350,3, soft photolithography
350,4, waveguides
353,0,Capstone
353,1, Customer needs
353,2, Design deliverables
353,3, Project descriptions
353,4, Sponsor expectations
354,0,Bi-objective
354,1, Design space exploration
354,2, Technology tactics plot
357,0,Combustion
357,2, On-site measurements
357,3, Two-phase flow
358,0,social sustainability
358,1, sustainable design
359,0,lithography
359,1, optics
359,2, photonics
360,0,Assembly simplification
360,1, Computer-aided design
360,2, External geometry
360,3, Ray casting
362,1, field programmable gate arrays (FPGAs)
364,0,Femtosecond laser micromachining
364,1, Guided-wave acousto-optics
364,2, Holographic display
364,3, Lithium niobate
364,4, Surface acoustic waves
365,0,Chirped fiber Bragg grating
365,1, Phase change materials
365,2, Pump-probe spectroscopy
365,3, Single-shot spectroscopy
365,4, Time-stretching
365,5, Timeencoding
366,0,Active learning
366,1, Alloy phase prediction
366,2, Cluster expansion
366,3, Interatomic potentials
366,5, Moment Tensor Potentials
368,0,Architectural programming
368,1, Design science
368,2, Serious games
368,3, Simulations
368,4, Target value design
368,5, Value
377,0,Ensemble feature selection
377,1, Maximal oxygen uptake
377,2, Prediction
377,3, Rank aggregation
377,4, Support vector machine
379,0,Dynamic equivalent
379,1, Online measurement
379,3, REI equivalent
379,4, WLS nonlinear optimization
384,0,calorimetry
384,1, neutron scattering
384,2, surface chemistry
386,1, hardening
387,1, adhesion
387,2, conductive inks
387,4, single lap shear testing
387,5, surface treatments
390,0,Fully compliant
390,1, multistable mechanism
390,2, pseudo-rigid-body model
391,0,Data
391,1, Disasters
391,2, Emergency response
391,3, Framework
391,4, Hurricanes
395,0,Crisis informatics
395,1, Delphi method
395,2, Emergency management
395,4, Software requirements
402,0,Design reference mission
402,1, Landing sites
402,2, Lunar exploration
402,3, Moon
402,4, Sample return
402,5, South Pole-Aitken basin
403,0,Global Optimization
403,1, Parameter Estimation
406,1, Communication delay
406,2, Packet drop
410,0,Film boiling
410,1, Microstructure
410,2, Pool boiling
410,3, Post patterned
410,4, Rib patterned
411,0,diabetes
411,1, encapsulation
411,2, stem cells
413,0,Compliant mechanism
413,1, Lamina emergent joint
413,2, Maximum torsion stress
413,3, Rectangular beam
418,0,Multi-scale asymptotics
418,1, Reduced models
418,2, Slow manifold
418,3, Wave-mean flow interaction
419,0,Anti-carbon deposition
419,1, Chemical looping combustion
419,2, Copper oxide oxygen carrier
419,3, Fly ash support
420,0,3D printing. rapid prototyping
420,1, modeling
420,2, proof of concept
420,3, user testing
420,4, Virtual reality
423,0,Exceptional polynomial
423,1, Permutation polynomial
423,2, Separable polynomial
423,3, Weil bound
424,0,Channel coding
424,1, integrated optics
424,2, phased arrays
424,3, quantum mechanics
427,0,HPC
427,2, Smoothed Particles Hydrodynamics
428,0,Bearing
428,1, Capillary
428,2, Surface tension
430,0,Biosensor
430,3, in vitro protein synthesis
430,4, Protein biosensor
430,5, TX-TL
431,0,Carbon capture
431,1, Chemical absorption
431,2, Dynamic inputs
431,4, Low temperature carbon capture
431,5, Power generation
433,0,Cancer
433,1, Carbon nanotubes
433,2, Chemical vapor deposition
433,3, CIP2A
433,4, Immunosensor
433,5, Point-of-care diagnostics
434,0,Network coding
434,1, Routing
434,2, Store code and forward
434,3, Topology inference
441,0,logistics
441,1, military logistics
441,2, Operation planning
441,3, route modeling
441,4, vessel route planning
445,0,Forming limit
445,1, Q&P steel
445,2, Retained austenite
445,3, Strain path
446,0,Compliant stiffener
446,1, finite element models
446,2, large deflection
446,3, lenticular stiffener
446,4, non-linear elasticity
447,0,Attitude
447,1, Engineering
447,2, Interest
447,3, Literacy
447,4, Reading
447,5, STEM
447,6, Technology
448,0,Angular surfaces
448,1, Cavity effect
448,2, Specular reflection
448,3, V-groove
448,4, Variable emissivity surface
449,0,Alumina nanoparticles
449,4, Ferrocene
450,1, Natural radial frequency
450,2, Pile
450,3, Raft
450,5, Superstructure
458,0,Drug discovery
458,1, Peptide
458,2, Random forest
459,1, biosensors
459,2, dielectric waveguides
459,3, fluorescence spectroscopy
459,5, multimode interference waveguides
459,6, multiplexing
464,0,Collaborative filtering
464,1, Deep learning
464,2, Movie recommendation
465,0,Graduate school
465,2, Recommender
467,0,Cylindrical
467,1, ODT
467,2, One-dimensional turbulence
467,3, Turbulence modeling
468,0,Compliant
468,1, Curvature
468,2, Developable
468,3, Joint
468,4, Rolling contact
468,5, Ruled surface
471,0,hardware tokens
471,1, longitudinal study
471,2, two factor authentication
471,3, usability
471,4, YubiKey
473,0,Future of innovation
473,1, IRI Research
473,2, R&D leadership
473,3, Talent management
475,0,complementary metal-oxide-semiconductor image sensor
475,1, contact imaging
475,2, hybrid microfluidic
475,3, integrated valves
475,4, polydimethylsiloxane
476,0,Antenna arrays
476,1, antenna radiation pattern synthesis
478,0,affective theories
478,1, design projects
478,2, electrodermal activity
478,3, learning environment
478,4, multimodal methods
479,1, Flexible manipulator
479,3, Transfer matrix method
480,0,infrared imaging
480,1, infrared space observatory
480,2, infrared spectroscopy
480,3, planets
480,4, telescopes
480,5, Wide Field Infrared Survey Telescope
481,2, Particle traps
496,0,Bézier dual basis
496,1, Bézier extraction
496,2, Bézier projection
496,3, B̄-projection
498,0,charge redistribution
498,1, Charge-steering amplifier
498,2, dynamic amplifier
498,3, dynamic circuit
498,4, operational amplifier
499,0,Annealing twins
499,3, Recrystallization
499,4, Superalloy
500,0,Convection
500,3, Microchannel
502,0,Dielectric waveguides
502,1, fluorescence
502,4, multimode waveguides
502,6, rib waveguides
504,0,Concentric and eccentric loading
504,1, High-strength concrete masonry block
504,2, Hollow and grouted prisms
505,0,BP neural network
505,1, Inverse piezoresistive nanocomposite sensor
505,2, Posture identification
505,3, Sitting posture
505,4, Strain gauge
509,0,Blast
509,1, Diffusion MRI
509,2, ENIGMA
509,3, Military
509,4, Traumatic brain injury
510,0,Forefoot strike
510,1, Metatarsophalangeal joint
510,2, Midfoot
510,3, Multi-segment foot
510,4, Rearfoot strike
511,0,Fiber optic sensors
511,1, Noise reduction
511,2, Phase modulation
512,0,carbon nanotube
512,1, cyclic voltammetry
512,2, electrical resistivity
512,3, microelectrode array
512,4, neural probe
513,0,CAD
513,1, Computer-aided engineering model interaction
513,2, Data translation
514,0,Buckingham's Pi theorem
514,1, Critical weld parameters
514,2, Dimensional analysis
514,4, Rosenthal equation
514,5, Thermal modeling
515,3, Mortar methods
517,0,foam
517,1, impact
517,2, multifunctional
517,3, nanocomposite
517,4, self-sensing
517,5, signal drift
519,0,Evans function
519,1, Stability
519,2, Travelling waves
520,0,cross-talk
520,1, flexible tactile sensor array
520,2, scalable
520,3, soft body sensing
520,4, soft robot
522,0,antireflective
522,1, light blocking
526,0,atrium
526,1, cavoatrial junction
526,2, laser
526,3, PICC
526,4, stylet
526,5, superior vena cava
527,0,Access density
