keyword,author_id
 CO2 capture,57193338296
 Life cycle assessment,57193338296
 Payback period,57193338296
 Solid amine,57193338296
Carbon nanotube,57194692502
 CO2 capture,57194692502
 Life cycle assessment,57194692502
 Payback period,57194692502
 Solid amine,57194692502
Carbon nanotube,57202017958
 CO2 capture,57202017958
 Life cycle assessment,57202017958
 Payback period,57202017958
 Solid amine,57202017958
Carbon nanotube,57205128747
 CO2 capture,57205128747
 Life cycle assessment,57205128747
 Payback period,57205128747
 Solid amine,57205128747
Carbon nanotube,55829396600
 CO2 capture,55829396600
 Life cycle assessment,55829396600
 Payback period,55829396600
 Solid amine,55829396600
FSpW,57201634652
 Refill friction stir spot welding,57201634652
 RFSSW,57201634652
 Temperature,57201634652
 Tool life,57201634652
FSpW,57218685929
 Refill friction stir spot welding,57218685929
 RFSSW,57218685929
 Temperature,57218685929
 Tool life,57218685929
FSpW,18535712500
 Refill friction stir spot welding,18535712500
 RFSSW,18535712500
 Temperature,18535712500
 Tool life,18535712500
Cooperating robots,56248593800
 multi-robot systems,56248593800
 path planning for multiple mobile robots or agents,56248593800
Cooperating robots,10640480600
 multi-robot systems,10640480600
 path planning for multiple mobile robots or agents,10640480600
Cooperating robots,24923036100
 multi-robot systems,24923036100
 path planning for multiple mobile robots or agents,24923036100
Cooperating robots,7201675107
 multi-robot systems,7201675107
 path planning for multiple mobile robots or agents,7201675107
Fiber Bragg Grating,36149254500
 High speed measurements,36149254500
 Optical fiber sensors,36149254500
Fiber Bragg Grating,57191155872
 High speed measurements,57191155872
 Optical fiber sensors,57191155872
Fiber Bragg Grating,56681156600
 High speed measurements,56681156600
 Optical fiber sensors,56681156600
Fiber Bragg Grating,7201741468
 High speed measurements,7201741468
 Optical fiber sensors,7201741468
Fiber Bragg Grating,35088650000
 High speed measurements,35088650000
 Optical fiber sensors,35088650000
Fiber Bragg Grating,7402786794
 High speed measurements,7402786794
 Optical fiber sensors,7402786794
Bézier extraction,56330168500
 Dual basis,56330168500
 Isogeometric analysis,56330168500
 Locking,56330168500
 Reissner–Mindlin,56330168500
 Shells,56330168500
Bézier extraction,9942259800
 Dual basis,9942259800
 Isogeometric analysis,9942259800
 Locking,9942259800
 Reissner–Mindlin,9942259800
 Shells,9942259800
Bézier extraction,57201257192
 Dual basis,57201257192
 Isogeometric analysis,57201257192
 Locking,57201257192
 Reissner–Mindlin,57201257192
 Shells,57201257192
Bézier extraction,56260937200
 Dual basis,56260937200
 Isogeometric analysis,56260937200
 Locking,56260937200
 Reissner–Mindlin,56260937200
 Shells,56260937200
Bézier extraction,57081918700
 Dual basis,57081918700
 Isogeometric analysis,57081918700
 Locking,57081918700
 Reissner–Mindlin,57081918700
 Shells,57081918700
Bézier extraction,55487415500
 Dual basis,55487415500
 Isogeometric analysis,55487415500
 Locking,55487415500
 Reissner–Mindlin,55487415500
 Shells,55487415500
Acoustic,57201912667
 Concrete bridge deck,57201912667
 Delamination,57201912667
 Impact-echo,57201912667
 Sounding,57201912667
Acoustic,7202282831
 Concrete bridge deck,7202282831
 Delamination,7202282831
 Impact-echo,7202282831
 Sounding,7202282831
Acoustic,57218107757
 Concrete bridge deck,57218107757
 Delamination,57218107757
 Impact-echo,57218107757
 Sounding,57218107757
Acoustic,57198832579
 Concrete bridge deck,57198832579
 Delamination,57198832579
 Impact-echo,57198832579
 Sounding,57198832579
Acoustic,57218097969
 Concrete bridge deck,57218097969
 Delamination,57218097969
 Impact-echo,57218097969
 Sounding,57218097969
Acoustic,7003302831
 Concrete bridge deck,7003302831
 Delamination,7003302831
 Impact-echo,7003302831
 Sounding,7003302831
Acoustic,16066928300
 Concrete bridge deck,16066928300
 Delamination,16066928300
 Impact-echo,16066928300
 Sounding,16066928300
performance feedback,57213342768
 production yields,57213342768
 quality-speed tradeoffs,57213342768
 rework,57213342768
 speed-accuracy tradeoffs,57213342768
Active thermal control,56584019300
 Deployable radiator,56584019300
 Spacecraft thermal control,56584019300
Active thermal control,57217581937
 Deployable radiator,57217581937
 Spacecraft thermal control,57217581937
Active thermal control,57214937519
 Deployable radiator,57214937519
 Spacecraft thermal control,57214937519
Active thermal control,57217581770
 Deployable radiator,57217581770
 Spacecraft thermal control,57217581770
Active thermal control,55542008600
 Deployable radiator,55542008600
 Spacecraft thermal control,55542008600
Active thermal control,56714263700
 Deployable radiator,56714263700
 Spacecraft thermal control,56714263700
Active thermal control,8608718200
 Deployable radiator,8608718200
 Spacecraft thermal control,8608718200
Catalysis,57194874146
 CO2 reduction,57194874146
 Coal,57194874146
 Gasification,57194874146
 Ideal syngas,57194874146
 Pyrolysis,57194874146
Catalysis,8935141300
 CO2 reduction,8935141300
 Coal,8935141300
 Gasification,8935141300
 Ideal syngas,8935141300
 Pyrolysis,8935141300
Catalysis,57194231165
 CO2 reduction,57194231165
 Coal,57194231165
 Gasification,57194231165
 Ideal syngas,57194231165
 Pyrolysis,57194231165
Catalysis,6601976036
 CO2 reduction,6601976036
 Coal,6601976036
 Gasification,6601976036
 Ideal syngas,6601976036
 Pyrolysis,6601976036
Catalysis,35547089300
 CO2 reduction,35547089300
 Coal,35547089300
 Gasification,35547089300
 Ideal syngas,35547089300
 Pyrolysis,35547089300
Catalysis,7004479819
 CO2 reduction,7004479819
 Coal,7004479819
 Gasification,7004479819
 Ideal syngas,7004479819
 Pyrolysis,7004479819
Catalysis,55413647400
 CO2 reduction,55413647400
 Coal,55413647400
 Gasification,55413647400
 Ideal syngas,55413647400
 Pyrolysis,55413647400
Catalysis,55739722900
 CO2 reduction,55739722900
 Coal,55739722900
 Gasification,55739722900
 Ideal syngas,55739722900
 Pyrolysis,55739722900
Catalysis,7201970805
 CO2 reduction,7201970805
 Coal,7201970805
 Gasification,7201970805
 Ideal syngas,7201970805
 Pyrolysis,7201970805
bandpass filter,57217041570
 biquad filter,57217041570
 particle detector,57217041570
 pulse shaping,57217041570
 Sallen-Key,57217041570
 Shaper,57217041570
bandpass filter,57200117690
 biquad filter,57200117690
 particle detector,57200117690
 pulse shaping,57200117690
 Sallen-Key,57200117690
 Shaper,57200117690
bandpass filter,57207689986
 biquad filter,57207689986
 particle detector,57207689986
 pulse shaping,57207689986
 Sallen-Key,57207689986
 Shaper,57207689986
bandpass filter,57200699937
 biquad filter,57200699937
 particle detector,57200699937
 pulse shaping,57200699937
 Sallen-Key,57200699937
 Shaper,57200699937
bandpass filter,7202316035
 biquad filter,7202316035
 particle detector,7202316035
 pulse shaping,7202316035
 Sallen-Key,7202316035
 Shaper,7202316035
bandpass filter,7102975249
 biquad filter,7102975249
 particle detector,7102975249
 pulse shaping,7102975249
 Sallen-Key,7102975249
 Shaper,7102975249
bandpass filter,35209941000
 biquad filter,35209941000
 particle detector,35209941000
 pulse shaping,35209941000
 Sallen-Key,35209941000
 Shaper,35209941000
content,57219312906
 deep learning,57219312906
 metadata,57219312906
 Research paper,57219312906
content,57215534774
 deep learning,57215534774
 metadata,57215534774
 Research paper,57215534774
content,35303536900
 deep learning,35303536900
 metadata,35303536900
 Research paper,35303536900
Atomistic simulations,57216811262
 Grain boundaries,57216811262
 Nickel,57216811262
Atomistic simulations,8705255200
 Grain boundaries,8705255200
 Nickel,8705255200
analog-to-digital converter (ADC),57218879246
 delta sigma (?S),57218879246
 incremental data converters,57218879246
 multi stage noise shaping (MASH),57218879246
 multi-step,57218879246
 time-domain analysis,57218879246
 two step,57218879246
analog-to-digital converter (ADC),57218883196
 delta sigma (?S),57218883196
 incremental data converters,57218883196
 multi stage noise shaping (MASH),57218883196
 multi-step,57218883196
 time-domain analysis,57218883196
 two step,57218883196
analog-to-digital converter (ADC),57218883472
 delta sigma (?S),57218883472
 incremental data converters,57218883472
 multi stage noise shaping (MASH),57218883472
 multi-step,57218883472
 time-domain analysis,57218883472
 two step,57218883472
analog-to-digital converter (ADC),57218875152
 delta sigma (?S),57218875152
 incremental data converters,57218875152
 multi stage noise shaping (MASH),57218875152
 multi-step,57218875152
 time-domain analysis,57218875152
 two step,57218875152
analog-to-digital converter (ADC),35209941000
 delta sigma (?S),35209941000
 incremental data converters,35209941000
 multi stage noise shaping (MASH),35209941000
 multi-step,35209941000
 time-domain analysis,35209941000
 two step,35209941000
analog-to-digital converter (ADC),36444802300
 delta sigma (?S),36444802300
 incremental data converters,36444802300
 multi stage noise shaping (MASH),36444802300
 multi-step,36444802300
 time-domain analysis,36444802300
 two step,36444802300
Cooperative navigation,7402967162
 direction-of-arrival estimation,7402967162
 MIMO systems,7402967162
 pose estimation,7402967162
 relative attitude estimation,7402967162
 unmanned aerial vehicles,7402967162
Cooperative navigation,56196521900
 direction-of-arrival estimation,56196521900
 MIMO systems,56196521900
 pose estimation,56196521900
 relative attitude estimation,56196521900
 unmanned aerial vehicles,56196521900
Cooperative navigation,35597296700
 direction-of-arrival estimation,35597296700
 MIMO systems,35597296700
 pose estimation,35597296700
 relative attitude estimation,35597296700
 unmanned aerial vehicles,35597296700
Cooperative navigation,55649569259
 direction-of-arrival estimation,55649569259
 MIMO systems,55649569259
 pose estimation,55649569259
 relative attitude estimation,55649569259
 unmanned aerial vehicles,55649569259
aerial robotics,55849071700
 multiplicative extended Kalman filter,55849071700
 Sensor fusion,55849071700
 vision-aided inertial navigation,55849071700
aerial robotics,57190404271
 multiplicative extended Kalman filter,57190404271
 Sensor fusion,57190404271
 vision-aided inertial navigation,57190404271
aerial robotics,35562442700
 multiplicative extended Kalman filter,35562442700
 Sensor fusion,35562442700
 vision-aided inertial navigation,35562442700
aerial robotics,7006542177
 multiplicative extended Kalman filter,7006542177
 Sensor fusion,7006542177
 vision-aided inertial navigation,7006542177
aerial robotics,36668159600
 multiplicative extended Kalman filter,36668159600
 Sensor fusion,36668159600
 vision-aided inertial navigation,36668159600
Algal-bacterial culture,57200206301
 Membrane bioreactor,57200206301
 Microalgae,57200206301
 Photo-bioreactor,57200206301
 Wastewater treatment,57200206301
Algal-bacterial culture,57190131647
 Membrane bioreactor,57190131647
 Microalgae,57190131647
 Photo-bioreactor,57190131647
 Wastewater treatment,57190131647
Algal-bacterial culture,35612908400
 Membrane bioreactor,35612908400
 Microalgae,35612908400
 Photo-bioreactor,35612908400
 Wastewater treatment,35612908400
Algal-bacterial culture,8208300700
 Membrane bioreactor,8208300700
 Microalgae,8208300700
 Photo-bioreactor,8208300700
 Wastewater treatment,8208300700
Algal-bacterial culture,57192643299
 Membrane bioreactor,57192643299
 Microalgae,57192643299
 Photo-bioreactor,57192643299
 Wastewater treatment,57192643299
Design for humans,57197773578
 Design for X,57197773578
 Product development,57197773578
 Sustainable design,57197773578
 User-centered design,57197773578
Design for humans,57204761536
 Design for X,57204761536
 Product development,57204761536
 Sustainable design,57204761536
 User-centered design,57204761536
Design for humans,7004300863
 Design for X,7004300863
 Product development,7004300863
 Sustainable design,7004300863
 User-centered design,7004300863
Design for humans,8421746800
 Design for X,8421746800
 Product development,8421746800
 Sustainable design,8421746800
 User-centered design,8421746800
Aerial robotics,57203660684
 epipolar geometry,57203660684
 multi-target tracking,57203660684
 pose estimation,57203660684
 unmanned aircraft systems,57203660684
 vision-based flight,57203660684
Aerial robotics,35562442700
 epipolar geometry,35562442700
 multi-target tracking,35562442700
 pose estimation,35562442700
 unmanned aircraft systems,35562442700
 vision-based flight,35562442700
Electromagnetic sensors,57218095797
 In vivo measurements,57218095797
 Inverse kinematics,57218095797
 ISB,57218095797
 Landmark,57218095797
 Postural,57218095797
 Sensor-to-body,57218095797
 Sensor-to-segment,57218095797
 Upper limb,57218095797
 Whole arm,57218095797
Electromagnetic sensors,57218102993
 In vivo measurements,57218102993
 Inverse kinematics,57218102993
 ISB,57218102993
 Landmark,57218102993
 Postural,57218102993
 Sensor-to-body,57218102993
 Sensor-to-segment,57218102993
 Upper limb,57218102993
 Whole arm,57218102993
Electromagnetic sensors,57218105310
 In vivo measurements,57218105310
 Inverse kinematics,57218105310
 ISB,57218105310
 Landmark,57218105310
 Postural,57218105310
 Sensor-to-body,57218105310
 Sensor-to-segment,57218105310
 Upper limb,57218105310
 Whole arm,57218105310
Electromagnetic sensors,57197795830
 In vivo measurements,57197795830
 Inverse kinematics,57197795830
 ISB,57197795830
 Landmark,57197795830
 Postural,57197795830
 Sensor-to-body,57197795830
 Sensor-to-segment,57197795830
 Upper limb,57197795830
 Whole arm,57197795830
Electromagnetic sensors,14033673100
 In vivo measurements,14033673100
 Inverse kinematics,14033673100
 ISB,14033673100
 Landmark,14033673100
 Postural,14033673100
 Sensor-to-body,14033673100
 Sensor-to-segment,14033673100
 Upper limb,14033673100
 Whole arm,14033673100
Compact mechanism,57214937519
 Conical surface,57214937519
 Developable mechanism,57214937519
 Spherical mechanism,57214937519
Compact mechanism,6701720294
 Conical surface,6701720294
 Developable mechanism,6701720294
 Spherical mechanism,6701720294
Compact mechanism,57211516485
 Conical surface,57211516485
 Developable mechanism,57211516485
 Spherical mechanism,57211516485
Field-programmable gate array (FPGA),57208246750
 neural networks,57208246750
 quantization,57208246750
 reliability,57208246750
Field-programmable gate array (FPGA),57206834042
 neural networks,57206834042
 quantization,57206834042
 reliability,57206834042
Field-programmable gate array (FPGA),7003292762
 neural networks,7003292762
 quantization,7003292762
 reliability,7003292762
Field-programmable gate array (FPGA),19638969800
 neural networks,19638969800
 quantization,19638969800
 reliability,19638969800
Field-programmable gate array (FPGA),55301279200
 neural networks,55301279200
 quantization,55301279200
 reliability,55301279200
aliased effects,7402258065
 CME analysis,7402258065
 confounding,7402258065
 effect heredity,7402258065
 effect sparsity,7402258065
 hierarchical ordering,7402258065
Aeronautical telemetry,36987999600
 continuous phase modulation (CPM),36987999600
 frequency-selective multipath,36987999600
 shaped offset QPSK (SOQPSK),36987999600
 sparse channel estimation,36987999600
Aeronautical telemetry,7003868048
 continuous phase modulation (CPM),7003868048
 frequency-selective multipath,7003868048
 shaped offset QPSK (SOQPSK),7003868048
 sparse channel estimation,7003868048
Aeronautical telemetry,7202083837
 continuous phase modulation (CPM),7202083837
 frequency-selective multipath,7202083837
 shaped offset QPSK (SOQPSK),7202083837
 sparse channel estimation,7202083837
Dashboards,9535406000
 Distributed learning environments,9535406000
 Human-computer interface,9535406000
 Interactive learning environments,9535406000
 Learning analytics,9535406000
 Online learning systems,9535406000
Dashboards,56703308500
 Distributed learning environments,56703308500
 Human-computer interface,56703308500
 Interactive learning environments,56703308500
 Learning analytics,56703308500
 Online learning systems,56703308500
Dashboards,57216531463
 Distributed learning environments,57216531463
 Human-computer interface,57216531463
 Interactive learning environments,57216531463
 Learning analytics,57216531463
 Online learning systems,57216531463
Dashboards,23050937200
 Distributed learning environments,23050937200
 Human-computer interface,23050937200
 Interactive learning environments,23050937200
 Learning analytics,23050937200
 Online learning systems,23050937200
Additive manufacturing,57199050938
 Dislocation structures,57199050938
 Elastic strain,57199050938
 Microstructural evolution,57199050938
 Nickel superalloys,57199050938
 Rapid solidification,57199050938
Additive manufacturing,57211158470
 Dislocation structures,57211158470
 Elastic strain,57211158470
 Microstructural evolution,57211158470
 Nickel superalloys,57211158470
 Rapid solidification,57211158470
Additive manufacturing,57195286623
 Dislocation structures,57195286623
 Elastic strain,57195286623
 Microstructural evolution,57195286623
 Nickel superalloys,57195286623
 Rapid solidification,57195286623
Additive manufacturing,35790633100
 Dislocation structures,35790633100
 Elastic strain,35790633100
 Microstructural evolution,35790633100
 Nickel superalloys,35790633100
 Rapid solidification,35790633100
Additive manufacturing,12142543700
 Dislocation structures,12142543700
 Elastic strain,12142543700
 Microstructural evolution,12142543700
 Nickel superalloys,12142543700
 Rapid solidification,12142543700
Additive manufacturing,8715877100
 Dislocation structures,8715877100
 Elastic strain,8715877100
 Microstructural evolution,8715877100
 Nickel superalloys,8715877100
 Rapid solidification,8715877100
footwear,57209474608
 Marathon racing,57209474608
 performance,57209474608
footwear,12445208100
 Marathon racing,12445208100
 performance,12445208100
footwear,35868117400
 Marathon racing,35868117400
 performance,35868117400
footwear,57209473859
 Marathon racing,57209473859
 performance,57209473859
footwear,35867849600
 Marathon racing,35867849600
 performance,35867849600
additive manufacturing,8929123100
 thin liquid films,8929123100
additive manufacturing,57215607275
 thin liquid films,57215607275
additive manufacturing,57215609504
 thin liquid films,57215609504
additive manufacturing,57200118993
 thin liquid films,57200118993
additive manufacturing,57215613881
 thin liquid films,57215613881
additive manufacturing,57215598228
 thin liquid films,57215598228
additive manufacturing,57211987837
 thin liquid films,57211987837
additive manufacturing,57209538650
 thin liquid films,57209538650
additive manufacturing,7005636820
 thin liquid films,7005636820
Design for humans,57192943554
 Design for X,57192943554
 Product development,57192943554
 Sustainable design,57192943554
Binder Jetting,7003772744
 Inkjet printing,7003772744
 Saturation,7003772744
 Stainless Steel,7003772744
current-voltage measurement,57195970826
 DNA nanofabrication,57195970826
 electroless plating,57195970826
 gold nanorods,57195970826
 nanoelectronics,57195970826
 tellurium nanorods,57195970826
current-voltage measurement,57203943386
 DNA nanofabrication,57203943386
 electroless plating,57203943386
 gold nanorods,57203943386
 nanoelectronics,57203943386
 tellurium nanorods,57203943386
current-voltage measurement,57193834529
 DNA nanofabrication,57193834529
 electroless plating,57193834529
 gold nanorods,57193834529
 nanoelectronics,57193834529
 tellurium nanorods,57193834529
current-voltage measurement,57203942414
 DNA nanofabrication,57203942414
 electroless plating,57203942414
 gold nanorods,57203942414
 nanoelectronics,57203942414
 tellurium nanorods,57203942414
current-voltage measurement,7410190129
 DNA nanofabrication,7410190129
 electroless plating,7410190129
 gold nanorods,7410190129
 nanoelectronics,7410190129
 tellurium nanorods,7410190129
current-voltage measurement,7007046711
 DNA nanofabrication,7007046711
 electroless plating,7007046711
 gold nanorods,7007046711
 nanoelectronics,7007046711
 tellurium nanorods,7007046711
current-voltage measurement,7006111578
 DNA nanofabrication,7006111578
 electroless plating,7006111578
 gold nanorods,7006111578
 nanoelectronics,7006111578
 tellurium nanorods,7006111578
Data structure,56371366400
 Genomics,56371366400
 K-mer,56371366400
 Parallel programming,56371366400
Data structure,57202818911
 Genomics,57202818911
 K-mer,57202818911
 Parallel programming,57202818911
Data structure,7102523474
 Genomics,7102523474
 K-mer,7102523474
 Parallel programming,7102523474
complex dynamics,7003927879
 Dynamic network,7003927879
 intrinsic stability,7003927879
 recurrent neural network,7003927879
 specialization,7003927879
 spectral properties,7003927879
complex dynamics,57217245563
 Dynamic network,57217245563
 intrinsic stability,57217245563
 recurrent neural network,57217245563
 specialization,57217245563
 spectral properties,57217245563
complex dynamics,57198519795
 Dynamic network,57198519795
 intrinsic stability,57198519795
 recurrent neural network,57198519795
 specialization,57198519795
 spectral properties,57198519795
complex dynamics,55100119300
 Dynamic network,55100119300
 intrinsic stability,55100119300
 recurrent neural network,55100119300
 specialization,55100119300
 spectral properties,55100119300
Biharmonic problem,57201257192
 C1 continuity,57201257192
 Dual mortar method,57201257192
 Enriched Bézier dual basis,57201257192
 Patch coupling,57201257192
Biharmonic problem,56330168500
 C1 continuity,56330168500
 Dual mortar method,56330168500
 Enriched Bézier dual basis,56330168500
 Patch coupling,56330168500
Biharmonic problem,9942259800
 C1 continuity,9942259800
 Dual mortar method,9942259800
 Enriched Bézier dual basis,9942259800
 Patch coupling,9942259800
Biharmonic problem,39861044100
 C1 continuity,39861044100
 Dual basis,39861044100
 Dual mortar method,39861044100
 Enriched Bézier dual basis,39861044100
 Patch coupling,39861044100
Biharmonic problem,36708895400
 C1 continuity,36708895400
 Dual basis,36708895400
 Dual mortar method,36708895400
 Enriched Bézier dual basis,36708895400
 Patch coupling,36708895400
Feature description algorithm,57210419894
 Log-polar coordinates,57210419894
 Rotation-invariance,57210419894
 Scale-invariance,57210419894
 Vision-based measurement,57210419894
Feature description algorithm,14059209700
 Log-polar coordinates,14059209700
 Rotation-invariance,14059209700
 Scale-invariance,14059209700
 Vision-based measurement,14059209700
Feature description algorithm,7406665619
 Log-polar coordinates,7406665619
 Rotation-invariance,7406665619
 Scale-invariance,7406665619
 Vision-based measurement,7406665619
Feature description algorithm,7201793184
 Log-polar coordinates,7201793184
 Rotation-invariance,7201793184
 Scale-invariance,7201793184
 Vision-based measurement,7201793184
Discrete-ordinates method,56692412900
 Experiments and modelling,56692412900
 Radiative heat transfer,56692412900
 Rotary kiln,56692412900
Discrete-ordinates method,57211105311
 Experiments and modelling,57211105311
 Radiative heat transfer,57211105311
 Rotary kiln,57211105311
Discrete-ordinates method,7202518970
 Experiments and modelling,7202518970
 Radiative heat transfer,7202518970
 Rotary kiln,7202518970
Discrete-ordinates method,12445742400
 Experiments and modelling,12445742400
 Radiative heat transfer,12445742400
 Rotary kiln,12445742400
3D printing,57215680724
 biocompatibility,57215680724
 cytotoxicity,57215680724
 microfluidics,57215680724
 resin,57215680724
 spheroid,57215680724
3D printing,57205652801
 biocompatibility,57205652801
 cytotoxicity,57205652801
 microfluidics,57205652801
 resin,57205652801
 spheroid,57205652801
3D printing,57195427378
 biocompatibility,57195427378
 cytotoxicity,57195427378
 microfluidics,57195427378
 resin,57195427378
 spheroid,57195427378
3D printing,57215684781
 biocompatibility,57215684781
 cytotoxicity,57215684781
 microfluidics,57215684781
 resin,57215684781
 spheroid,57215684781
3D printing,57215687139
 biocompatibility,57215687139
 cytotoxicity,57215687139
 microfluidics,57215687139
 resin,57215687139
 spheroid,57215687139
3D printing,57215697686
 biocompatibility,57215697686
 cytotoxicity,57215697686
 microfluidics,57215697686
 resin,57215697686
 spheroid,57215697686
3D printing,56251876800
 biocompatibility,56251876800
 cytotoxicity,56251876800
 microfluidics,56251876800
 resin,56251876800
 spheroid,56251876800
3D printing,7202687601
 biocompatibility,7202687601
 cytotoxicity,7202687601
 microfluidics,7202687601
 resin,7202687601
 spheroid,7202687601
3D printing,7005636820
 biocompatibility,7005636820
 cytotoxicity,7005636820
 microfluidics,7005636820
 resin,7005636820
 spheroid,7005636820
3D printing,56514586700
 biocompatibility,56514586700
 cytotoxicity,56514586700
 microfluidics,56514586700
 resin,56514586700
 spheroid,56514586700
Design for humans,57197765353
 Design for X,57197765353
 Product design,57197765353
 Sustainable design,57197765353
 Product design,7004300863
 Product design,8421746800
control architectures and programming,57188681207
 deep learning in robotics and automation,57188681207
 model learning for control,57188681207
 Optimization and optimal control,57188681207
control architectures and programming,36349287300
 deep learning in robotics and automation,36349287300
 model learning for control,36349287300
 Optimization and optimal control,36349287300
electronic design automation,57189235340
 fault detection,57189235340
 radiation effects,57189235340
 redundancy,57189235340
 reliability,57189235340
electronic design automation,55547123342
 fault detection,55547123342
 radiation effects,55547123342
 redundancy,55547123342
 reliability,55547123342
electronic design automation,7003292762
 fault detection,7003292762
 radiation effects,7003292762
 redundancy,7003292762
electronic design automation,25639041400
 fault detection,25639041400
 radiation effects,25639041400
 redundancy,25639041400
 reliability,25639041400
electronic design automation,55967471000
 fault detection,55967471000
 radiation effects,55967471000
 redundancy,55967471000
 reliability,55967471000
electronic design automation,57218221803
 fault detection,57218221803
 radiation effects,57218221803
 redundancy,57218221803
 reliability,57218221803
3D hydrodynamic focusing,56709287700
 Biosensor,56709287700
 Lab-on-a-chip,56709287700
 Liquid-core waveguide,56709287700
 Microfluidic,56709287700
