name,country,dept_name
"Tufts University, Dept. of Electrical and Computer Engineering, Medford, MA, United States", United States, Dept. of Electrical and Computer Engineering
"Department of Engineering, University of Southern Indiana, 8600 University Boulevard, Evansville, IN  47712, United States", United States,Department of Engineering
"Department of Mechanical Engineering, Brigham Young University, 435 CTB, Provo, UT  84602, United States", United States,Department of Mechanical Engineering
"Department of Precision and Microsystems Engineering, Delft University of Technology, Mekelweg 2, 2628 CD Delft, Netherlands", Netherlands,Department of Precision and Microsystems Engineering
"Universidad del Desarrollo, National Research Center for Integrated Natural Disaster Management (CIGIDEN), Concepción, Chile", Chile,
"University of Arkansas, Fayetteville, AR, United States", United States,
"Auburn University, Auburn, AL, United States", United States,
"University of California, San Diego, San Diego, CA, United States", United States,
"University of Puerto Rico Mayaguez, Mayaguez, Puerto Rico", Puerto Rico,
"Instituto de Ingeniería, Universidad Nacional Autónoma de México, Mexico City, Mexico", Mexico,
"Air Force Research Laboratory, Fuzes Branch, Munitions Directorate, EglinFL, United States", United States,
"Oak Ridge National Laboratoy, Oak Ride, TN, United States", United States,
"Ball Aerospace and Technologies Corporation, Colorado Springs, CO, United States", United States,
"Brigham Young University, Department of Mechanical Engineering, 350 EB, Provo, UT, United States", United States, Department of Mechanical Engineering
"US Army RDECOM-ARDEC, Picatinny Arsenal, NJ, United States", United States,
"Sciperio Inc., Orlando, FL, United States", United States,
"Center for Clinical Systems Biology, Rochester General Hospital, Rochester, NY, United States", United States,
"Computer Science Department, Brigham Young University, Provo, UT, United States", United States,Computer Science Department
"Dept. of Psychology and Neuroscience, Computer Science, and Clinical Immunology Clinical Systems Biology Group, Inst. for Neuroimmune Medicine Nova Southeastern University, Fort Lauderdale, FL, United States", United States,Dept. of Psychology and Neuroscience
"Dept. of Clinical Immunology, EM Paper Laboratory of Clinical Immunology, Inst. for Neuroimmune Medicine, Nova Southeastern University, Fort Lauderdale, FL, United States", United States,Dept. of Clinical Immunology
"Dept. of Clinical Immunology, Inst. for Neuroimmune Medicine, Nova Southeastern University, Fort Lauderdale, FL, United States", United States,Dept. of Clinical Immunology
"Miami Veterans Affairs Medical Center, Miami, FL, United States", United States,
"Dept. of Biomedical Engineering, Rochester Institute of Technology, Rochester, NY, United States", United States,Dept. of Biomedical Engineering
"Department of Mechanical Engineering, Brigham Young University, 435 Crabtree Building, Provo, UT  84602, United States", United States,Department of Mechanical Engineering
"Henan University of Science and Technology, School of Information Engineering, Luoyang, China", China, School of Information Engineering
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT, United States", United States, Department of Electrical and Computer Engineering
"School of Engineering, University of California, Santa Cruz, 1156 High Street, Santa Cruz, CA  95064, United States", United States,School of Engineering
"ECEn Department, Brigham Young University, 459 Clyde Building, Provo, UT  84602, United States", United States,ECEn Department
"Department of Microbiology and Molecular Biology, Brigham Young University, Provo, UT  84602, United States", United States,Department of Microbiology and Molecular Biology
"Brigham Young University, Electrical and Computer Engineering, 450 Engineering Building, Provo, UT  84602, United States", United States,
"University of California, Santa Cruz, School of Engineering, 1156 High Street, Santa Cruz, CA  95064, United States", United States, School of Engineering
"Oregon State University, United States",None,
"International College of Semiconductor Technology, National Chiao Tung University, Hsinchu, 30010, Taiwan", Taiwan,
"Department of Electrical and Computer Engineering, University of California at Los Angeles, Los Angeles, CA  90095, United States", United States,Department of Electrical and Computer Engineering
"Department of Electronics Engineering, National Chiao Tung University, Hsinchu, 30010, Taiwan", Taiwan,Department of Electronics Engineering
"INESC TEC, Department of Engineering, Universidade de Trás-os-Montes e Alto Douro, UTAD, Vila Real, 5001-801, Portugal", Portugal, Department of Engineering
"National Chiao Tung University, International College of Semiconductor Technology, Hsinchu, 30010, Taiwan", Taiwan,
"University of California at Los Angeles, Electrical and Computer Engineering, Los Angeles, CA  90095, United States", United States,
"Department of Radiology, BenQ Medical Center, Affiliated BenQ Hospital, Nanjing Medical University, Nanjing, 210017, China", China,Department of Radiology
"Department of Health Services Administration, China Medical University, Taichung, 40402, Taiwan", Taiwan,Department of Health Services Administration
"Department of Dental Technology and Materials Science, Central Taiwan University of Science and Technology, Taichung, 40601, Taiwan", Taiwan,Department of Dental Technology and Materials Science
"Department of Long Term Care, National Quemoy University, Jinning, 892, Taiwan", Taiwan,Department of Long Term Care
"CSIRO Data61, Epping, NSW  1710, Australia", Australia,
"Department of Management Information Systems, Central Taiwan University of Science and Technology, Taichung, 40601, Taiwan", Taiwan,Department of Management Information Systems
"School of Information Engineering, Henan University of Science and Technology, Luoyang City, Henan Province, 471000, China", China,School of Information Engineering
"Robotic Vision Lab, Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States", United States, Department of Electrical and Computer Engineering
"State Key Laboratory of Magnetic Resonance and Atomic Molecular Physics, National Center for Magnetic Resonance in Wuhan, Wuhan Institute of Physics and Mathematics, Chinese Academy of Sciences, Wuhan, Hubei  430071, China", China,
"College of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, Hubei  430074, China", China,
"Chemistry and Biochemistry Department, Brigham Young University, Provo, UT  84602, United States", United States,Chemistry and Biochemistry Department
"Department of Mechanical Engineering, University of South Florida, 4202 E Fowler Ave, Tampa, United States", United States,Department of Mechanical Engineering
"Mechanical Engineering, 350 EB, Provo, UT  84602, United States", United States,
"Mechanical Engineering and Neuroscience, Brigham Young University, 350 EB, Provo, UT  84602, United States", United States,
"Cubiscan, Inc, Farmington, UT  84025, United States", United States,
"National University of Mexico, Mexico City, Mexico", Mexico,
"Department of Electrical and Computer Engineering, University of Coimbra, Instituto de Telecomunicações, Coimbra, 3030-290, Portugal", Portugal,Department of Electrical and Computer Engineering
"CISUC, Department of Informatics Engineering, University of Coimbra, Coimbra, 3030-290, Portugal", Portugal, Department of Informatics Engineering
"Synopsys Inc., Maia, 4470-605, Portugal", Portugal,
"Center for Friction Stir Processing, Advanced Materials and Manufacturing Processes Institute, University of North Texas, Denton, TX  76203, United States", United States,
"Pacific Northwest National Laboratory, Energy Materials and Manufacturing, MSIN: K2-03, 902 Battelle Blvd., P.O. Box 999, Richland, WA  99352, United States", United States,
"General Motors Technical Center, Warren, MI  48093, United States", United States,
"Advanced Instrumentation Systems Technology (AIST) Executing Agent, Code 709, Naval Undersea Warfare Center, Newport, RI  02841, United States", United States,
"Dept. of Mechanical Engineering, Brigham Young University, Provo, UT  84604, United States", United States,Dept. of Mechanical Engineering
"Information and Decision Algorithms Laboratories, Brigham Young University, Provo, UT  84602, United States", United States,
"Brigham Young University, NSF Center for Space, High-Performance, and Resilient Computing (SHREC), Provo, UT  84602, United States", United States,
"NSF Center for Space, High-performance, and Resilient Computing (SHREC), Brigham Young University, Provo, UT, United States", United States,
"Frontier-Kemper Constructors, Inc., 1695 Allen Rd., Evansville, IN  47710, United States", United States,
"General Atomics, 3550 General Atomics Ct., San Diego, CA  92121, United States", United States,
"National Snow and Ice Data Center, Cooperative Institute for Research in Environmental Sciences, University of Colorado Boulder, Boulder, CO  80303, United States", United States,
"Department of Engineering, University of Southern Indiana, Evansville, IN  47712, United States", United States,Department of Engineering
"Lang Origami, Alamo, CA  94507, United States", United States,
"Key Laboratory for Precision & Non-traditional Machining Technology of Ministry of Education, Dalian University of Technology, Dalian, 116024, China", China,
"Department of Mechanical Engineering, Brigham Young UniversityUT  84602, United States", United States,Department of Mechanical Engineering
"Department of Exercise Sciences, Brigham Young University, Provo, UT, United States", United States,Department of Exercise Sciences
"Department of Exercise Science, Brigham Young University, Provo, UT, United States", United States,Department of Exercise Science
"Bayer CropScience LP, Research Triangle ParkNC, United States", United States,
"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT  84604, United States", United States,Electrical and Computer Engineering Department
"Electric Power Research Institute, Charlotte, NC  28262, United States", United States,
"Department of Mathematics, USTC, Hefei, Anhui, China", China,Department of Mathematics
"Department of Computer Science, Brigham Young University, Provo, UT, United States", United States,Department of Computer Science
"Department of Materials Science and Engineering, The Ohio State University, Columbus, OH, United States", United States,Department of Materials Science and Engineering
"University of Minnesota Duluth, United States",None,
"University of Tennessee, Knoxville, United States", United States,
"Department of Chemical Engineering, Ira A. Fulton College of Engineering and Technology, Brigham Young University, 350 Clyde Building, Provo, UT  84602, United States", United States,Department of Chemical Engineering
"Department of Civil and Environmental Engineering, Ira A. Fulton College of Engineering and Technology, Brigham Young University, 368 Clyde Building, Provo, UT  84602, United States", United States,Department of Civil and Environmental Engineering
"Department of Electrical Engineering, Brigham Young University, United States", United States,Department of Electrical Engineering
"Brigham Young University, Department of Chemical Engineering, United States", United States, Department of Chemical Engineering
"Electrical and Computer Engineering Department, Brigham Young University, United States", United States,Electrical and Computer Engineering Department
"Brigham Young University, Department of Civil and Environmental Engineering, United States", United States, Department of Civil and Environmental Engineering
"Mechanical Engineering, Brigham Young University, 350 EB, Provo, UT  84602, United States", United States,
"Department of Mechanical Engineering, Brigham Young University, United States", United States,Department of Mechanical Engineering
"Computer Science Department, Brigham Young University, United States", United States,Computer Science Department
"Department of Statistics, Brigham Young University, United States", United States,Department of Statistics
"Department of Electrical and Computer Engineering, Brigham Young University, United States", United States,Department of Electrical and Computer Engineering
"School of Electronics and Information Technology, Sun Yat-sen University, China", China,School of Electronics and Information Technology
"Department of Technical Communication, University of North Texas, Denton, TX  76203, United States", United States,Department of Technical Communication
"Department of Linguistics, Brigham Young University, Provo, UT  84602, United States", United States,Department of Linguistics
"Department of Mechanical Engineering, University of Texas at Tyler, Texas, United States", United States,Department of Mechanical Engineering
"Department of Mathematics, Brigham Young University, Provo, UT, United States", United States,Department of Mathematics
"Department of Chemical Engineering, University of Utah, Salt Lake City, UT, United States", United States,Department of Chemical Engineering
"Department of Mining Engineering, University of Utah, Salt Lake City, UT, United States", United States,Department of Mining Engineering
"Dept. of Power, Electronics and Communication Engineering, Faculty of Technical Sciences, Novi Sad, Serbia", Serbia,Dept. of Power
"Department of Chemical Engineering, University of Massachusetts Amherst, Amherst, MA  01003, United States", United States,Department of Chemical Engineering
"Brigham Young University, Mechanical Engineering, 435 CTB, Provo, UT  84602, United States", United States,
"Brigham Young University, 265 CTB, Manufacturing Engineering Technology, Provo, UT  84602, United States", United States,
"Ohio State University, Materials Science and Engineering, Columbus, OH  43210, United States", United States,
"UC Santa Barbara, Mechanical Engineering Department, Materials Department, Santa Barbara, CA  93106, United States", United States, Mechanical Engineering Department
"University of New Hampshire, Department of Mechanical Engineering, Durham, NH  03824, United States", United States, Department of Mechanical Engineering
"Institute of Engineering at National Autonomous University of Mexico, Mexico",None,
"California Institute of Technology, United States",None,
"University of Arkansas, United States",None,
"University of California at San Diego, United States",None,
"University of Concepcion, Chile",None,
"Department of Mechanical Engineering, University of South Florida, Tampa, FL  33612, United States", United States,Department of Mechanical Engineering
"National Research Council, Air Force Research Laboratory, Eglin Air Force Base, Valparaiso, FL  32542, United States", United States,
"Electrical Engineering Department, University of South Florida, Tampa, FL  33612, United States", United States,Electrical Engineering Department
"Oak Ridge National Laboratory, Oak Ridge, TN  37830, United States", United States,
"Pall Corporation, New Port Richey, FL  34654, United States", United States,
"School of Electrical Engineering and Computer Science, Oregon State University, Corvallis, OR  97331, United States", United States,School of Electrical Engineering and Computer Science
"Institut für Verbundwerkstoffe GmbH, Germany",None,
"Materials Division, National Physical Laboratory, United Kingdom", United Kingdom,
"Department of Mechanical Engineering and Center for Composite Materials, University of Delaware, United States", United States,Department of Mechanical Engineering and Center for Composite Materials
"Department of Polymer Materials and Plastics Engineering, Technische Universität Clausthal, Germany", Germany,Department of Polymer Materials and Plastics Engineering
"Faculty of Engineering, University of Nottingham, United Kingdom", United Kingdom,
"Processing of Composites Group, Montanuniversität Leoben, Austria", Austria,
"Department of Mechanical Engineering, Katholieke Universiteit Leuven, Belgium", Belgium,Department of Mechanical Engineering
"Center for Design, Manufacturing and Materials, Skolkovo Institute of Science and Technology, Russian Federation", Russian Federation,
"Khalifa University of Science and Technology (KUST), Abu Dhabi, United Arab Emirates", United Arab Emirates,
"Centre for Advanced Composite Materials, University of Auckland, New Zealand", New Zealand,
"Composite Materials and Structures Group, INEGI, Portugal", Portugal,
"Department of Mechanical Engineering, KOÇ University, Turkey", Turkey,Department of Mechanical Engineering
"ITAINNOVA Instituto Tecnológico de Aragón, Spain",None,
"Department of Polymers and Composites Technology & Mechanical Engineering, IMT Lille Douai, France", France,Department of Polymers and Composites Technology & Mechanical Engineering
"Laboratory of Composite Materials and Adaptive Structures, ETH Zurich, Switzerland", Switzerland,
"Institute of Aircraft Design, University of Stuttgart, Germany", Germany,
"Institute of Research in Materials Science and Technology, Universidad Nacional de Mar del Plata, Argentina", Argentina,
"Faculty of Manufacturing Engineering Technology, Brigham Young University, United States", United States,
"Chair of Carbon Composites, Technische Universität München, Germany", Germany,
"Mines Saint-Etienne, Université de Lyon, CNRS, UMR 5307 LGF, Centre SMS, Departement MPE, Saint-Etienne, F-42023, France", France, Departement MPE
"Composites Manufacturing & Simulation Center, Purdue University, United States", United States,
"C2MA, IMT Mines Ales, Univ. Montpellier, Ales, France", France,
"Institut de Soudure Group, France",None,
"Weldon School of Biomedical Engineering, Purdue University, West Lafayette, IN, United States", United States,Weldon School of Biomedical Engineering
"Department of ECE, University of California, Santa Cruz 1156 High Street, Santa Cruz, CA  95064, United States", United States,Department of ECE
"Department of Electrical and Computer Engineering, Brigham Young University, 459 Clyde Building, Provo, Utah, 84602, United States", United States,Department of Electrical and Computer Engineering
"University of North Carolina at Chapel Hill, Chapel Hill, NC, United States", United States,
"Brigham and Women's Hospital, Boston, MA, United States", United States,
"School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, China", China,School of Electronics and Information Technology
"SYSU-CMU Shunde International Joint Research Institute, Shunde, Foshan, China", China,
"Institute of Systems Engineering, China Academy of Engineering Physics, Mianyang, 621999, China", China,
"State Key Laboratory for Manufacturing Systems Engineering, Xi'an Jiaotong University, Xi'an, 710049, China", China,
"University of California Santa Cruz, School of Engineering, 1156 High Street, Santa Cruz, CA  95064, United States", United States, School of Engineering
"Department of Virology and Immunology, Texas Biomedical Research Institute, 7620 NW Loop 410, San Antonio, TX  78227, United States", United States,Department of Virology and Immunology
"Instituto de Telecomunicações, Department of Electrical and Computer Engineering, University of Coimbra, Portugal", Portugal, Department of Electrical and Computer Engineering
"Magnetic Research Inc., 3152 N University Ave #50, Provo, UT  84604, United States", United States,
"University of California San Diego, 9500 Gilman Drive, La Jolla, CA  92093, United States", United States,
"Department of Health Science, Brigham Young University, College of Life Sciences, Life Sciences Building (LSB), Provo, UT  84602, United States", United States,Department of Health Science
"Department of Geology and Geophysics, University of Utah, Frederick Albert Sutton Building, 115 S, 1460 E #383, Salt Lake City, UT  84112, United States", United States,Department of Geology and Geophysics
"Center for Materials Genomics, Duke University, Durham, NC  27708, United States", United States,
"Department of Mechanical Engineering and Materials Science, Duke University, Durham, NC  27708, United States", United States,Department of Mechanical Engineering and Materials Science
"Center for Materials Physics and Technology, Code 6390, U.S. Naval Research Laboratory, Washington, DC  20375, United States", United States,
"Department of Physics, NRCN, P.O. Box 9001, Beer-Sheva, 84190, Israel", Israel,Department of Physics
"Department of Chemistry, St. Olaf College, Northfield, MN  55057, United States", United States,Department of Chemistry
"Materials Science, Electrical Engineering, Physics and Chemistry, Duke University, Durham, NC  27708, United States", United States,
"Fritz-Haber-Institut der Max-Planck-Gesellschaft, Berlin-Dahlem, 14195, Germany", Germany,
"San Diego State University, San Diego, CA  92182-1030, United States", United States,
"Department of Electrical Engineering and Computer Science, 1520 Middle Dr, Knoxville, TN  37996-2250, United States", United States,Department of Electrical Engineering and Computer Science
"Computer Science Department, Brigham Young University, 3361 TMCB PO Box 26576, Provo, UT  84602-6576, United States", United States,Computer Science Department
"Department of Mechanical Engineering, 360D EB, Brigham Young University, Provo, UT  84602, United States", United States,Department of Mechanical Engineering
"Patent Law Works LLP, Salt Lake City, UT  84111, United States", United States,
"Roseman University of Health Sciences, College of Dental Medicine, South Jordan, UT  84095, United States", United States,
"Department of Physiology and Developmental Biology, Brigham Young University, Provo, UT  84602, United States", United States,Department of Physiology and Developmental Biology
"Roseman University of Health Sciences, College of Pharmacy, South Jordan, UT  84095, United States", United States,
"Mechanical Engineering Department, University of South Florida, Tampa, FL  33620, United States", United States,Mechanical Engineering Department
"Manufacturing Engineering Department, Brigham Young University, Provo, UT  84602, United States", United States,Manufacturing Engineering Department
"Centre de Mise en Forme des Materiaux, Mines ParisTech, Sophia-Antipolis, 06904, France", France,
"Department of Electrical and Computer Engineering, University of Coimbra, Portugal", Portugal,Department of Electrical and Computer Engineering
"Air Force Research Laboratory, Wright-Patterson, OH  45433, United States", United States,
"Uber Advanced Technologies Group, Pittsburgh, PA  15201, United States", United States,
"Dept. of Civil and Environmental Engineering, Brigham Young Univ., 368 Clyde Building, Provo, UT  84602, United States", United States,Dept. of Civil and Environmental Engineering
"Dept. of Civil Engineering, Federal Univ. of São Carlos, Rodovia Washington Luiz km 235, São Carlos, São Paulo, 13565-905, Brazil", Brazil,Dept. of Civil Engineering
"Dept. of Civil Engineering, São Paulo State Univ., Alameda Bahia 550, Ilha Solteira, São Paulo, 15385-000, Brazil", Brazil,Dept. of Civil Engineering
"Department of Manufacturing Engineering Technology, Brigham Young University, Provo, UT, United States", United States,Department of Manufacturing Engineering Technology
"Qualified Rapid Products, West Jordan, UT, United States", United States,
"Department of Mechanical Engineering, Brigham Young University, 435 CTB ProvoUT  84604, United States", United States,Department of Mechanical Engineering
"Marriott School of Management, Brigham Young University, Provo, UT  84602, United States", United States,Marriott School of Management
"Department of Mechanical Engineering, University of Houston, Houston, TX  77204-4006, United States", United States,Department of Mechanical Engineering
"Materials Science and Engineering Program, University of Houston, Houston, TX  77204, United States", United States,
"Advanced Manufacturing Institute (AMI), University of Houston, Houston, TX  77204, United States", United States,
"Texas Center for Superconductivity at UH (TcSUH), University of Houston, Houston, TX  77204, United States", United States,
"Detonation Science and Technology Group (Q-6), MS C925, Los Alamos National Laboratory, Los Alamos, NM  87545, United States", United States,
"Department of Biological Engineering, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA  02139, United States", United States,Department of Biological Engineering
"Department of Defense, Office of Naval Research, 875N. Randolph Street, Arlington, VA  22205-1995, United States", United States,Department of Defense
"Nanoscience Department, The Joint School of Nanoscience and Nanoengineering, The University of North Carolina at Greensboro, Greensboro, NC, United States", United States,Nanoscience Department
"IBM T.J. Watson Research Center, 1101 Kitchawan Road, PO Box 218, Yorktown Heights, NY  10598, United States", United States,
"Micron School of Materials Science & Engineering, Boise State University, Boise, ID  83725, United States", United States,Micron School of Materials Science & Engineering
"Semiconductor Research Corp, 4819 Emperor Blvd., Durham, NC  27703, United States", United States,
"NSF Center for Space, High-Performance, and Resilient Computing (SHREC), Deptartment of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States", United States, Deptartment of Electrical and Computer Engineering
"University of British Columbia, United States",None,
"Imperial College London, United Kingdom",None,
"New York University, United States",None,
"New York University Abu Dhabi, United Arab Emirates",None,
"Dept of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States", United States,Dept of Mechanical Engineering
"Department of Electrical Engineering and Computer Science, Washington State University, Pullman, WA  99164, United States", United States,Department of Electrical Engineering and Computer Science
"Brigham Young University, Instructional Psychology and Technology, Provo, UT, United States", United States,
"Westminster College, Computer Science, Salt Lake City, UT, United States", United States,
"Departament d′Enginyeria Mecànica, Universitat Rovira i Virgili, Av. Països Catalans, 26, Tarragona, 43007, Spain", Spain,Departament d′Enginyeria Mecànica
"Statistical Sciences Group, Los Alamos National Laboratory, Los Alamos, NM, United States", United States,
"School of Electrical Science and Engineering, University of Electronic Science and Technology of China, Chengdu, 610054, China", China,School of Electrical Science and Engineering
"Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA  30332, United States", United States,Department of Electrical and Computer Engineering
"ON Semiconductor, Lindon, UT  84042, United States", United States,
"Los Alamos National Laboratory, United States",None,
"University of Chicago, United States",None,
"University of Maryland, Baltimore County, United States", United States,
"Department of Computer Science, Brigham Young University, Information and Decision Algorithms Laboratories, Provo, UT  84602, United States", United States,Department of Computer Science
"Department of Computer Science, Information and Decision Algorithms Laboratories, Brigham Young University, Provo, UT  84602, United States", United States,Department of Computer Science
"Department of Electrical and Computer Engineering, University of Calgary, Calgary, Canada", Canada,Department of Electrical and Computer Engineering
"Dept. of Physics and Astronomy, Brigham Young University, Provo, Utah, United States", United States,Dept. of Physics and Astronomy
"Dept. of Power, Electronics, and Com. Engineering, University of Novi Sad, Faculty of Technical Sciences, Serbia", Serbia,Dept. of Power
"Brigham Young University, Department of Mechanical Engineering, Provo, UT, United States", United States, Department of Mechanical Engineering
"Electrical and Computer Engineering Department, Brigham Young University, 450 Engineering Building, Provo, UT  84602, United States", United States,Electrical and Computer Engineering Department
"Avenue Consultants Inc., 6575 South Redwood Rd., Taylorsville, UT  84123, United States", United States,
"Dept. of Statistics, Brigham Young Univ., Provo, UT  84602, United States", United States,Dept. of Statistics
"Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States", United States,
"Neuroscience, Brigham Young University, Provo, UT  84602, United States", United States,
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84606, United States", United States,Department of Electrical and Computer Engineering
"Brigham Young University, Department of Manufacturing Engineering 265 CTB, Provo, UT  84602, United States", United States, Department of Manufacturing Engineering 265 CTB
"Dept. of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States", United States,Dept. of Mechanical Engineering
"BYU Applied Biomechanics Engineering Laboratory, Dept. of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States", United States, Dept. of Mechanical Engineering
"BYU Applied Biomechanics Engineering Laboratory, Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States", United States, Department of Mechanical Engineering
"Dept. of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States", United States,Dept. of Chemical Engineering
"Dept. of Microbiology and Molecular Biology, Brigham Young University, Provo, UT  84602, United States", United States,Dept. of Microbiology and Molecular Biology
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84606, United States", United States,Department of Mechanical Engineering
"Department of Sociology, Brigham Young University, Provo, UT  84606, United States", United States,Department of Sociology
"Brigham Young University, Department of Chemical Engineering, 350 CB, Crabtree Building, Provo, UT  84602, United States", United States, Department of Chemical Engineering
"Department of Chemistry and Biochemistry, Brigham Young University, C100 BNSN, Provo, UT  84602, United States", United States,Department of Chemistry and Biochemistry
"Department of Physics and Astronomy, Brigham Young University, N265 ESC, rovo, UT  84602, United States", United States,Department of Physics and Astronomy
"Brigham Young University, Electrical and Computer Engineering Dept., Provo, UT, United States", United States, Electrical and Computer Engineering Dept.
"Brigham Young University, Chemistry and Biochemistry Dept., Provo, UT, United States", United States, Chemistry and Biochemistry Dept.
"Department of Mechanical Engineering, Brigham Young University, 360 EB, Provo, UT  84602, United States", United States,Department of Mechanical Engineering
"National Renewable Energy Laboratory, National Wind Technology Center, 15013 Denver West Pkwy, Golden, CO  80401, United States", United States,
"Brigham Young University, Department of Mechanical Engineering, 360 EB, Provo, UT  84602, United States", United States, Department of Mechanical Engineering
"Department of Mech Eng, Brigham Young University, Provo, UT, United States", United States,Department of Mech Eng
"Department of Phys and Astronomy, Brigham Young University, Provo, UT, United States", United States,Department of Phys and Astronomy
"Idaho National Laboratory, Idaho Falls, ID, United States", United States,
"University of South Florida, Tampa, FL, United States", United States,
"BYU Turbomachinery Research Laboratory, Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States", United States, Department of Mechanical Engineering
"Compressor Aero Research Laboratory, Air Force Research Laboratory, Propulsion Directorate, Wright-Patterson AFBOH  45433, United States", United States,
"Department of Automatic Control and Systems Engineering, University of Sheffield, Sheffield, S1 3JD, United Kingdom", United Kingdom,Department of Automatic Control and Systems Engineering
"Department of Civil Engineering, Federal University of São Carlos – UFSCar, São Carlos, Brazil", Brazil,Department of Civil Engineering
"Department of Civil and Environmental Engineering, Brigham Young University - BYU, Provo, United States", United States,Department of Civil and Environmental Engineering
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84062, United States", United States,Department of Mechanical Engineering
"Concepts NREC, 217 Billings Farm Road, White River Junction, VT  05001, United States", United States,
"Mechanical and Aerospace Engineering Department, Oklahoma State University at Stillwater, Stillwater, OK  74074, United States", United States,Mechanical and Aerospace Engineering Department
"BTU Cottbus-Senftenberg, Siemens-Halske-Ring 14, Cottbus, D-03046, Germany", Germany,
"Purdue University, West Lafayette, United States", United States,
"Brigham Young UniversityUT, United States",None,
"Utah Valley University, United States",None,
"Hales Engineering, 1220 North 500 West, Lehi, UT  84043, United States", United States,
"NASA Langley Research Center, Hampton, VA  23681, United States", United States,
"Department of ECE, University of California, Santa Cruz, 1156 High Street, Santa Cruz, CA  95064, United States", United States,Department of ECE
"Department of Electrical and Computer Engineering, Brigham Young University, 459 Clyde Building, Provo, UT  84602, United States", United States,Department of Electrical and Computer Engineering
"University of Tennessee, United States",None,
"Civil and Environmental Engineering Dept., Brigham Young Univ., 368 CB, Provo, UT  84602, United States", United States,Civil and Environmental Engineering Dept.
"Wagstaff Crane Service, 4315 S. Commerce Dr., Murray, UT  84107, United States", United States,
"School of Engineering, University of California Santa Cruz, Santa Cruz, CA  95064, United States", United States,School of Engineering
"Sandia National Laboratories, United States",None,
"US Air Force Academy Colorado SpringsCO, United States",None,
"Department of Engineering Mechanics, US Air Force Academy, Colorado Springs, CO  80840, United States", United States,Department of Engineering Mechanics
"INSA de Lyon, Villeurbanne, France", France,
"Industrial Algorithms LimitedON, Canada",None,
"Institute of Thermal Science and Technology, Shandong University, Jinan, Shandong  250061, China", China,
"Loughborough Design School, Loughborough University, Loughborough, LE11 3TU, United Kingdom", United Kingdom,Loughborough Design School
"Brigham Young University, Electrical and Computer Engineering Department, Provo, UT, United States", United States, Electrical and Computer Engineering Department
"University of California, Electrical and Computer Engineering Department, Santa Cruz, CA, United States", United States, Electrical and Computer Engineering Department
"Ford Motor Company, United States",None,
"Brigham Young University, 368 Clyde Building, Provo, UT  84602, United States", United States,
"South Dakota School of Mines & Technology, CM 311, Rapid City, SD  57701, United States", United States,South Dakota School of Mines & Technology
"NSF Center for Space High-Performance, and Resilient Computing, Alexandria, VA  22314, United States", United States,
"School of Applied and Engineering Physics, Cornell University, Ithaca, NY  14853, United States", United States,School of Applied and Engineering Physics
"Media Laboratory, Massachusetts Institute of Technology, 75 Amherst St., Cambridge, MA  02142, United States", United States,
"Department of Electrical and Computer Engineering, Brigham Young University, 459 Clyde Building, Provo, UT, United States", United States,Department of Electrical and Computer Engineering
"Dept. of Physics, Yokohama National University, 79-5 Tokiwadai, Hodogaya, Yokohama, 240-8501, Japan", Japan,Dept. of Physics
"Dept. of Chemistry, Brigham Young University, Provo, UT  84602, United States", United States,Dept. of Chemistry
"Skolkovo Institute of Science and Technology, Skolkovo Innovation Center, Nobel str. 3, Moscow, 143026, Russian Federation", Russian Federation,
"Brigham Young University, Engineering Building, Provo, UT  84602, United States", United States,
"Brigham Young University, 350C MSRB, Provo, UT  84602, United States", United States,
"Advanced Deployable Structures, Jet Propulsion Laboratory, California Institute of Technology, 299-101, 4800 Oak Grove Drive, Pasadena, CA  91109, United States", United States,Advanced Deployable Structures
"Department of Construction Science, Texas A and M University, College Station, TX  77843, United States", United States,Department of Construction Science
"Department of Architecture, Texas A and M University, College Station, TX  77843, United States", United States,Department of Architecture
"College of Engineering, Brigham Young University, Provo, UT  84602-8200, United States", United States,
"Principal Faculty, Myers-Lawson School of Construction, Virginia Polytechnic Institute and State University, Blacksburg, VA  24061, United States", United States, Myers-Lawson School of Construction
"Brigham Young University, Provo, UT  84604, United States", United States,
"Robotics and Dynamics Lab, Department of Mechanical Engineering",None, Department of Mechanical Engineering
