keyword,document_id
 Computer architecture,16
 Concrete bridges,16
 Concretes,16
 Data handling,16
 Acoustic excitation,16
 Data processing architecture,16
 Detection and repairs,16
 Inspection methods,16
 Internal cracking,16
 Long-term maintenances,16
 Orders of magnitude,16
 Sounding techniques,16
 Repair,16
Active thermal control,18
 Deployable radiator,18
 Spacecraft thermal controlAluminum,18
 Energy efficiency,18
 Heat losses,18
 Hinges,18
 Meteorology,18
 Radiative Cooling,18
 Thermal conductivity,18
 Expansion and contraction,18
 Experimental demonstrations,18
 Experimental prototype,18
 Operating temperature,18
 Radiative heat loss,18
 Spacecraft components,18
 Spacecraft radiators,18
 Vacuum environment,18
 Radiators,18
Catalysis,20
 CO2 reduction,20
 Coal,20
 Gasification,20
 Ideal syngas,20
 PyrolysisActivation energy,20
 Carbon dioxide,20
 Carbon dioxide process,20
 Carbon footprint,20
 Carbon monoxide,20
 Catalysts,20
 Coal,20
 Global warming,20
 Iron research,20
 Methane,20
 Oxalic acid,20
 Reaction kinetics,20
 Synthesis gas,20
 Synthesis gas manufacture,20
 Carbon and hydrogens,20
 Carbon dioxide emissions,20
 Carbon footprint reductions,20
 Char gasification,20
 Multifunctional agents,20
 Process efficiency,20
 Syngas production,20
 Two-stage process,20
 Coal combustion,20
bandpass filter,21
 biquad filter,21
 particle detector,21
 pulse shaping,21
 Sallen-Key,21
 ShaperHigh pass filters,21
 Particle detectors,21
 Biquad filter,21
 Design process,21
 Front-end amplifier,21
 Particle detection,21
 Power efficiency,21
 Pulse signal,21
 State of the art,21
 Transfer characteristics,21
 Pulse shaping,21
content,22
 deep learning,22
 metadata,22
 Research paperData integration,22
 Data Science,22
 Information use,22
 Paper,22
 Publishing,22
 Search engines,22
 Websites,22
 Academic journal,22
 Empirical studies,22
 High volumes,22
 Latest development,22
 Learning models,22
 Research papers,22
 Scientific journals,22
 Scientific papers,22
 Deep learning,22
Atomistic simulations,23
 Grain boundaries,23
 NickelCrystal lattices,23
 Nickel,23
 Boundary planes,23
 Coincidence site lattices,23
 Disorientation angle,23
 Face-centered cubic,23
 Grain-boundary energy,23
 Low angle boundaries,23
 Misorientations,23
 Grain boundaries,23
analog-to-digital converter (ADC),24
 delta sigma (?S),24
 incremental data converters,24
 multi stage noise shaping (MASH),24
 multi-step,24
 time-domain analysis,24
 two stepBandwidth,24
 Signal to noise ratio,24
 Analog to digital converters,24
 Coarse quantization,24
 Data converter,24
 High resolution,24
 Multi stage noise shaping,24
 Over sampling ratio,24
 Power efficient,24
 Wide bandwidth,24
 Analog to digital conversion,24
Cooperative navigation,25
 direction-of-arrival estimation,25
 MIMO systems,25
 pose estimation,25
 relative attitude estimation,25
 unmanned aerial vehiclesAntennas,25
 Degrees of freedom (mechanics),25
 MIMO systems,25
 Unmanned aerial vehicles (UAV),25
 Ambiguity resolution,25
 Attitude estimation,25
 Cooperative navigations,25
 Multiple-input multiple-output channels,25
 Potential methods,25
 Radio frequencies,25
 Two degrees of freedom,25
 Vector estimates,25
 Air navigation,25
aerial robotics,26
 multiplicative extended Kalman filter,26
 Sensor fusion,26
 vision-aided inertial navigationAgricultural robots,26
 Global positioning system,26
 Vehicles,26
 Direct measurement,26
 Global measurements,26
 GPS-denied navigations,26
 Inertial measurement unit,26
 Laser scan matching,26
 Multiplicative extended kalman filters,26
 System robustness,26
 Useful properties,26
 Extended Kalman filters,26
Design for humans,29
 Design for X,29
 Product development,29
 Sustainable design,29
 User-centered designEcodesign,29
 Engineers,29
 Laws and legislation,29
 Life cycle,29
 Product design,29
 Academic research,29
 Current practices,29
 Design engineers,29
 Engineering professionals,29
 Government regulation,29
 Industry practices,29
 Social impact assessments,29
 State of the art,29
 Economic and social effects,29
Aerial robotics,30
 epipolar geometry,30
 multi-target tracking,30
 pose estimation,30
 unmanned aircraft systems,30
 vision-based flightAircraft detection,30
 Clutter (information theory),30
 Geometrical optics,30
 Matrix algebra,30
 Video recording,30
 Embedded hardware,30
 Epipolar geometry,30
 Inertial measurement unit,30
 Multi-target tracking,30
 Pose estimation algorithm,30
 Real time performance,30
 Relative rotation,30
 State-of-the-art algorithms,30
 Iterative methods,30
Electromagnetic sensors,31
 In vivo measurements,31
 Inverse kinematics,31
 ISB,31
 Landmark,31
 Postural,31
 Sensor-to-body,31
 Sensor-to-segment,31
 Upper limb,31
 Whole armCalibration,31
 Clinical research,31
 Degrees of freedom (mechanics),31
 Joints (anatomy),31
 Calibration method,31
 Clinical application,31
 Co-ordinate system,31
 Electromagnetic sensors,31
 Experimental methods,31
 In-vivo measurement,31
 International Society of Biomechanics,31
 Motion tracking system,31
 Motion tracking,31
 anatomic landmark,31
 arm movement,31
 Article,31
 body position,31
 comparative study,31
 elbow,31
 electromagnetism,31
 forearm,31
 in vivo study,31
 kinematics,31
 methodology,31
 rotation,31
 shoulder,31
 wrist,31
Compact mechanism,33
 Conical surface,33
 Developable mechanism,33
 Spherical mechanismMechanical engineering,33
 Mechanisms,33
 Conical geometry,33
 Conical surfaces,33
 Multiloop,33
 Position analysis,33
 Spherical mechanisms,33
 Spheres,33
Field-programmable gate array (FPGA),35
 neural networks,35
 quantization,35
 reliabilityAerospace applications,35
 Convolution,35
 Failure analysis,35
 Field programmable gate arrays (FPGA),35
 Integrated circuit design,35
 Low power electronics,35
 Military applications,35
 Military vehicles,35
 Multilayer neural networks,35
 Network layers,35
 Random errors,35
 Static random access storage,35
 Binary quantization,35
 Configuration memory,35
 Design flexibility,35
 Low-power consumption,35
 Misclassifications,35
 Reliability impacts,35
 Resource utilizations,35
 Static random access memory,35
 Convolutional neural networks,35
aliased effects,37
 CME analysis,37
 confounding,37
 effect heredity,37
 effect sparsity,37
 hierarchical orderingSeparation,37
 Aliased,37
 CME analysis,37
 confounding,37
 effect heredity,37
 Effect sparsity,37
 Hierarchical order,37
 Factor analysis,37
Aeronautical telemetry,38
 continuous phase modulation (CPM),38
 frequency-selective multipath,38
 shaped offset QPSK (SOQPSK),38
 sparse channel estimationBit error rate,38
 Equalizers,38
 Errors,38
 Frequency allocation,38
 Maximum likelihood,38
 Mean square error,38
 Telemetering equipment,38
 Aeronautical telemetry,38
 Carrier frequency offsets,38
 Discrete-time channels,38
 Filter coefficients,38
 Frequency selectivity,38
 Minimum mean squared error equalizers,38
 Reliable estimates,38
 Viable solutions,38
 Parameter estimation,38
Additive manufacturing,41
 Dislocation structures,41
 Elastic strain,41
 Microstructural evolution,41
 Nickel superalloys,41
 Rapid solidification3D printers,41
 Additives,41
 Laser heating,41
 Open source software,41
 Open systems,41
 Residual stresses,41
 Sintering,41
 Complex microstructures,41
 Cross correlations,41
 Dislocation structures,41
 Dislocation substructures,41
 Geometrically necessary dislocations,41
 High resolution electron backscatter diffractions,41
 Laser additive manufacturing,41
 Residual strains,41
 Strain,41
additive manufacturing,43
 thin liquid filmsAspect ratio,43
 Cytology,43
 Geometry,43
 Liquid films,43
 Microfluidics,43
 Thermodynamics,43
 Water cooled reactors,43
 Wetting,43
 Ambient environment,43
 Capillary effects,43
 High resolution,43
 Large aspect ratio,43
 Light water cooled nuclear reactors,43
 Microfluidic channel,43
 Microfluidic geometry,43
 Thin liquid film,43
 3D printers,43
Design for humans,46
 Design for X,46
 Product development,46
 Sustainable designDeveloping countries,46
 Engineers,46
 Product development,46
 Developing product,46
 Developing world,46
 Engineered products,46
 New product development,46
 Probability tables,46
 Product development process,46
 Product reviews,46
 SIMPLE method,46
 Economic and social effects,46
Binder Jetting,48
 Inkjet printing,48
 Saturation,48
 Stainless Steel3D printers,48
 Additives,48
 Drying,48
 Ink jet printing,48
 Saturation (materials composition),48
 Stainless steel,48
 Additive manufacturing process,48
 Droplet volume,48
 Drying condition,48
 Heating conditions,48
 Postprocessing methods,48
 Saturation levels,48
 Saturation limits,48
 Saturation parameters,48
 Drops,48
current-voltage measurement,49
 DNA nanofabrication,49
 electroless plating,49
 gold nanorods,49
 nanoelectronics,49
 tellurium nanorodsDNA,49
 Electroless plating,49
 Gold Nanorods,49
 Metals,49
 Nanoelectronics,49
 Nanorods,49
 Plasmons,49
 Semiconducting tellurium,49
 Bottom up approach,49
 DNA nanostructures,49
 Electrical characterization,49
 Electroless gold plating,49
 Inorganic nanostructures,49
 Schottky junctions,49
 Semiconductor interfaces,49
 Voltage properties,49
 Semiconductor junctions,49
Data structure,50
 Genomics,50
 K-mer,50
 Parallel programmingBioinformatics,50
 C++ (programming language),50
 Data structures,50
 Software prototyping,50
 De Bruijn graphs,50
 False positive,50
 Map-reduce,50
 Parallel data structures,50
 Parallel operations,50
 Specific values,50
 Digital storage,50
complex dynamics,51
 Dynamic network,51
 intrinsic stability,51
 recurrent neural network,51
 specialization,51
 spectral propertiesDynamics,51
 Learning algorithms,51
 Topology,51
 Global stability,51
 Hierarchical topology,51
 Network element,51
 Real-world networks,51
 Skewed degree distribution,51
 Spectral properties,51
 Topological evolution,51
 Topological features,51
 Recurrent neural networks,51
Biharmonic problem,52
 C1 continuity,52
 Dual basis,52
 Dual mortar method,52
 Enriched Bézier dual basis,52
 Patch couplingPolynomial approximation,52
 Biharmonic problem,52
 Continuity constraints,52
 Dual basis,52
 Dual mortars,52
 Fourth order problems,52
 Higher-order polynomials,52
 Optimal approximation,52
 Polynomial splines,52
 Mortar,52
Discrete-ordinates method,54
 Experiments and modelling,54
 Radiative heat transfer,54
 Rotary kilnAngular distribution,54
 Brickmaking,54
 Heat flux,54
 Heat radiation,54
 Radiative transfer,54
 Rotary kilns,54
 Absorption and scatterings,54
 Conductive heat transfer,54
 Cylindrical enclosure,54
 Discrete ordinates method,54
 Particle distributions,54
 Radiative heat fluxes,54
 Radiative heat transfer,54
 Radiative transfer equations,54
 3D modeling,54
3D printing,57
 biocompatibility,57
 cytotoxicity,57
 microfluidics,57
 resin,57
 spheroidBiocompatibility,57
 Cell adhesion,57
 Cytotoxicity,57
 Microfluidics,57
 Plasma applications,57
 Polyethylene glycols,57
 Resins,57
 Sulfur compounds,57
 3-D printing,57
 Cell migration,57
 Design approaches,57
 High resolution,57
 Microfluidic structures,57
 Plasma treatment,57
 Polyethylene glycol diacrylate,57
 spheroid,57
 3D printers,57
Design for humans,59
 Design for X,59
 Product design,59
 Sustainable designEcodesign,59
 Engineers,59
 Forecasting,59
 Isomers,59
 Product design,59
 Sustainable development,59
 Design for X,59
 Engineered products,59
 Engineering community,59
 Engineering parameters,59
 Performance measure,59
 Product development process,59
 Product requirements,59
 U.S.-Mexico border,59
 Economic and social effects,59
control architectures and programming,60
 deep learning in robotics and automation,60
 model learning for control,60
 Optimization and optimal controlComputer graphics,60
 Deep learning,60
 Degrees of freedom (mechanics),60
 Graphics processing unit,60
 Nonlinear systems,60
 Predictive control systems,60
 Program processors,60
 Real time control,60
 Robot programming,60
 Robotics,60
 Robots,60
 Control architectures and programming,60
 High degree of freedom systems,60
 Model learning,60
 Nonlinear model predictive control,60
 Optimal solutions,60
 Optimization and optimal control,60
 Optimization method,60
 Robotics applications,60
 Model predictive control,60
electronic design automation,61
 fault detection,61
 radiation effects,61
 redundancy,61
 reliabilityFault detection,61
 Field programmable gate arrays (FPGA),61
 Integrated circuit design,61
 Network components,61
 Circuit components,61
 Fault detection techniques,61
 Fault Injection techniques,61
 Multiple clock domains,61
 Networking systems,61
 Neutron radiations,61
 Partial duplications,61
 Radiation-induced,61
 Neutron irradiation,61
3D hydrodynamic focusing,62
 Biosensor,62
 Lab-on-a-chip,62
 Liquid-core waveguide,62
 Microfluidic,62
 Microscale channel,62
 Optofluidic,62
 Reservoir effect,62
 Single layerEtching,62
 Flow velocity,62
 Fluorescence,62
 Focusing,62
 Hydrodynamics,62
 Optical waveguides,62
 Surface micromachining,62
 Detection sensitivity,62
 Fluorescent signals,62
 Hydrodynamic focusing,62
 Optofluidic devices,62
 Pressure-driven flows,62
 Sensitivity and specificity,62
 Threedimensional (3-d),62
 Volumetric flow ratio,62
 Flow of fluids,62
Co-Sn alloy,66
 combinatorial,66
 high-throughput characterization,66
 Li-metal battery,66
 protection layerBinary alloys,66
 Cobalt alloys,66
 Crystal structure,66
 Crystallinity,66
 Deposition,66
 Lithium batteries,66
 Metals,66
 Thin films,66
 Tin alloys,66
 combinatorial,66
 High through-put characterization,66
 Li metal,66
 Protection layers,66
 Sn alloys,66
 Lithium alloys,66
Carbohydrate fuel cell,68
 Glucose fuel cell,68
 Glucose oxidation,68
 Oxidation efficiency,68
 Viologen mediatorAnodes,68
 Electrochemical cells,68
 Fuel cells,68
 Glucose,68
 Molar ratio,68
 Oxygen,68
 Reaction rates,68
 Electrochemical conditions,68
 Electrochemical experiments,68
 Electrochemical reaction rates,68
 Fuel cell application,68
 Glucose fuel cells,68
 Glucose oxidation,68
 Oxidation efficiency,68
 Viologens,68
 Electrochemical oxidation,68
 anoxic conditions,68
 electrochemical method,68
 electrode,68
 experimental study,68
 fuel cell,68
 glucose,68
 oxic conditions,68
 oxidation,68
 reaction rate,68
ADC,69
 comparator,69
 low power,69
 SAR,69
 subthrehold operation,69
 ultra low supply,69
 variationsComparators (optical),69
 Economic and social effects,69
 Integrated circuits,69
 Biasing circuit,69
 Circuit functionality,69
 Load capacitors,69
 Low power application,69
 Low supply voltages,69
 Measurements of,69
 Strength ratios,69
 Subthreshold,69
 Comparator circuits,69
Cooling rate,70
 Friction welding,70
 Microstructure control,70
 Rotary friction welding,70
 Temperature control,70
 TransformationFriction,70
 Friction welding,70
 Martensite,70
 Martensitic transformations,70
 Microstructure,70
 Pearlite,70
 Pearlitic transformations,70
 Scanning electron microscopy,70
 Temperature control,70
 Welds,70
 Cooling rates,70
 Geometric properties,70
 Interface temperatures,70
 Microstructure control,70
 Pearlitic microstructure,70
 Rotary friction welding,70
 Transformation,70
 Weld microstructures,70
 Cooling,70
Finite element analysis (FEA),73
 Nanocomposite,73
 Percolation theory,73
 Piezoresistive sensorElectron transport properties,73
 Electron tunneling,73
 Finite element method,73
 Inverse problems,73
 Matrix algebra,73
 Nanocomposites,73
 Nanoparticles,73
 Percolation (solid state),73
 Poisson distribution,73
 Polymers,73
 Quantum chemistry,73
 Solvents,73
 Conductive nanoparticles,73
 Effective medium theories,73
 Orientation distributions,73
 Percolation behavior,73
 Percolation theory,73
 Piezo-resistive behavior,73
 Piezo-resistive sensors,73
 Random resistor networks,73
 Wearable sensors,73
Chained pseudo-rigid-body model,75
 Compliant mechanisms,75
 Contact analysis,75
 Large deflectionCompliant mechanisms,75
 Deformation,75
 Mechanisms,75
 Potential energy functions,75
 Rigid structures,75
 Contact analysis,75
 Contact-aided compliant mechanisms,75
 Geometric constraint,75
 Geometric information,75
 Large deflection,75
 Large deflection analysis,75
 Pseudo-rigid body models,75
 Static equilibrium configurations,75
 Numerical methods,75
Ash,76
 Biomass,76
 Gasification,76
 Non-catalyticAshes,76
 Biomass,76
 Fuels,76
 Gasification,76
 Particle size,76
 Reaction rates,76
 Char gasification,76
 Char reactivity,76
 Diffusion controlled,76
 Kinetic reactions,76
 Kinetic reactivity,76
 Kinetically controlled,76
 Non-catalytic,76
 Theoretical modeling,76
 Kinetics,76
 ash,76
 biomass,76
 burning,76
 catalysis,76
 experimental study,76
 reaction kinetics,76
 reactive transport,76
 theoretical study,76
Density functional theory,77
 Generalized grids,77
 k-point grids,77
 k-point sampling,77
 Monkhorst-Pack,77
 Regular gridsBrute force search,77
 Generalized grids,77
 K points,77
 K-point sampling,77
 On the flies,77
 Regular grids,77
 Symmetry reduction,77
 Uniform distribution,77
 Density functional theory,77
Electromagnetic isolation,78
 frequency division duplexing,78
 microwave printed circuit board,78
 small aircraft,78
 x bandFrequency division multiplexing,78
 Frequency domain analysis,78
 Low noise amplifiers,78
 Microwave antennas,78
 Notch filters,78
 Printed circuit design,78
 Receiving antennas,78
 Slot antennas,78
 Timing circuits,78
 Defected ground plane,78
 Electromagnetic isolation,78
 Frequency division duplexed,78
 Frequency division duplexing,78
 Isolation performance,78
 Small aircraft,78
 Unmanned aerial systems,78
 X bands,78
 Printed circuit boards,78
Gas chromatography,79
 MEMS,79
 microcolumn,79
 silicon DRIE,79
 thermal gradientDisturbance rejection,79
 Gases,79
 MEMS,79
 Silicon,79
 Temperature control,79
 Thermal gradients,79
 Conduction-cooling,79
 Fabrication process,79
 Gas chromatographic column,79
 Heating and cooling rates,79
 High-resolution separations,79
 Microcolumns,79
 Quadratic temperature,79
 Temperature profiles,79
 Gas chromatography,79
Natural convection,81
 Slip length,81
 Superhydrophobic surface,81
 Temperature jump length,81
 Vertical wallBoundary layer flow,81
 Boundary layers,81
 Buoyancy,81
 Differential equations,81
 Flow velocity,81
 Hydrophobicity,81
 Natural convection,81
 Nusselt number,81
 Polonium compounds,81
 Prandtl number,81
 Surface properties,81
 Analytical investigations,81
 Boundary layer thickness,81
 Increased temperature,81
 Slip length,81
 Super-hydrophobic surfaces,81
 System of differential equations,81
 Temperature jump,81
 Vertical wall,81
 Sulfur compounds,81
Alumina,82
 Catalysis,82
 Nickel,82
 Oxidative dehydrogenation,82
 SilicaAlumina,82
 Aluminum oxide,82
 Calcination,82
 Catalysis,82
 Catalysts,82
 Energy efficiency,82
 Ethane,82
 Ethylene,82
 Nickel,82
 Nickel oxide,82
 Productivity,82
 Silica,82
 Alumina support,82
 Alumina-supported,82
 Calcination temperature,82
 Energy-efficient process,82
 NiO catalysts,82
 Oxidative dehydrogenation of ethanes,82
 Oxidative dehydrogenations,82
 Reaction temperature,82
 Dehydrogenation,82
Auto tuning,83
 Friction stir welding,83
 Relay feedback test,83
 System identification,83
 Temperature controlFeedback,83
 Friction,83
 Identification (control systems),83
 Relay control systems,83
 Religious buildings,83
 Research laboratories,83
 Restoration,83
 Temperature control,83
 Adaptive methods,83
 Adaptive relay,83
 Autotuning,83
 Friction stir welding(FSW),83
 Non-oscillations,83
 Relay feedback test,83
 Relay test,83
 Friction stir welding,83
 article,83
 simulation,83
 welding,83
Aged parameter estimation,84
 Battery management systems,84
 BCJR Algorithm,84
 Interacting multiple model Kalman filter,84
 Lithium ion battery,84
 Viterbi algorithmBattery management systems,84
 Digital communication systems,84
 Functions,84
 Ions,84
 Kalman filters,84
 Probability,84
 Viterbi algorithm,84
 BCJR algorithm,84
 Digital communications,84
 Interacting multiple model,84
 Markovian process,84
 Post processing,84
 Postprocessing algorithms,84
 Probability mass function,84
 Transition probabilities,84
 Lithium-ion batteries,84
Aeronautical telemetry,85
 compressed sensing,85
 frequency-selective multi-path,85
 sparse channel,85
 sparse equalizers,85
 transmit diversityAntennas,85
 Block codes,85
 Compressed sensing,85
 Functions,85
 Mean square error,85
 Signal to noise ratio,85
 Space time codes,85
 Space-time block coding (STBC),85
 Telemetering equipment,85
 Aeronautical telemetry,85
 Channel conditions,85
 Equalizer coefficients,85
 Mean squared error,85
 Multipaths,85
 Nonconvex functions,85
 Sparse channels,85
 Transmit diversity,85
 Equalizers,85
Discrete ordinates method,86
 Heat transfer,86
 Iron ore,86
 Rotary Kiln3D modeling,86
 Atmospheric temperature,86
 Brickmaking,86
 Heat radiation,86
 Heat transfer,86
 Iron ores,86
 Oil field equipment,86
 Radiative transfer,86
 Rotary kilns,86
 Surface properties,86
 Conductive heat transfer,86
 Convective heat transfer,86
 Discrete ordinates method,86
 Particle concentrations,86
 Radiation and convection,86
 Radiative heat transfer,86
 Radiative heat transfer equation,86
 Radiative heat transfer modeling,86
 Heat convection,86
back stress,88
 cpfem,88
 ebsd,88
 gnd,88
 tantalumGrain boundaries,88
 Tantalum,88
 Back stress,88
 cpfem,88
 Crystal plasticity finite element methods (CP FEM),88
 ebsd,88
 Electron back scatter diffraction,88
 Geometrically necessary dislocations,88
 Individual components,88
 Stress-strain response,88
 Deformation,88
Environmental dynamic capability,89
 Green human resource management bundles,89
 Green product innovation,89
 Green team creativity,89
 Technological turbulenceGlobal warming,89
 Public policy,89
 Resource allocation,89
 Surveys,89
 Sustainable development,89
 Turbulence,89
 Environmental dynamics,89
 Green human resource management bundles,89
 Green products,89
 Team creativity,89
 Technological turbulences,89
 Human resource management,89
drug delivery,91
 latanoprost,91
 Silicone hydrogel contact lens,91
 swellingContact lenses,91
 Drug delivery,91
 Hydrogels,91
 Propanol,91
 Silicones,91
 Solubility,91
 Swelling,91
 Targeted drug delivery,91
 Artificial tears,91
 Conventional lens,91
 Hansen solubility parameters,91
 latanoprost,91
 Poly hydroxy ethyl methacrylates,91
 Silicone hydrogels,91
 Solubility parameters,91
 Solvent chemistries,91
 Controlled drug delivery,91
 alpha tocopherol,91
 galyfilcon A,91
 latanoprost,91
 propanol,91
 trichloroethylene,91
 Article,91
 drug release,91
 drug uptake,91
 priority journal,91
 swelling,91
Ceragenins,92
 Human cathelicidin,92
 LL-37 peptide,92
 Membrane active compounds,92
 Nanoantibiotics,92
 Nanomedicine,92
 NanotechnologyAntimicrobial agents,92
 Biocompatibility,92
 Medical applications,92
 Medical nanotechnology,92
 Metal nanoparticles,92
 Metals,92
 Nanomagnetics,92
 Nanostructured materials,92
 Nanotechnology,92
 Peptides,92
 Physicochemical properties,92
 Antibacterial peptides,92
 Biomedical applications,92
 Cathelicidin,92
 Ceragenins,92
 Magnetic nano-particles,92
 Membrane active compounds,92
 Nanoantibiotics,92
 Therapeutic potentials,92
 Controlled drug delivery,92
 antiinfective agent,92
 antimicrobial cationic peptide,92
 cathelicidin antimicrobial peptide LL 37,92
 ceragenin,92
 magnetic nanoparticle,92
 nanomaterial,92
 nanoparticle,92
 unclassified drug,92
 antibiofilm activity,92
 antibiotic therapy,92
 antifungal activity,92
 antimicrobial activity,92
 antineoplastic activity,92
 bacterial strain,92
 cancer therapy,92
 drug delivery system,92
 drug efficacy,92
 drug formulation,92
 drug potency,92
 Escherichia coli,92
 experimental therapy,92
 fractional inhibitory concentration index,92
 human,92
 immunomodulation,92
 immunotherapy,92
 infection prevention,92
 minimum inhibitory concentration,92
 nanomedicine,92
 nonhuman,92
 pathogen clearance,92
 pleiotropy,92
 recurrent disease,92
 regenerative medicine,92
 Review,92
 urinary tract infection,92
bubble,95
 flow optimization,95
 in situ,95
 LCM,95
 VoidFlow velocity,95
 Graphite fibers,95
 Optical data processing,95
 Autoclave methods,95
 Automated methods,95
 Carbon reinforcements,95
 Flow orientations,95
 High performance composites,95
 Liquid composite molding,95
 Minimum velocities,95
 Optical measurement,95
 Image analysis,95
Computational modeling,96
 Integrated circuit modeling,96
 Integrated Optics,96
 Photonics,96
 Photonics,96
 Scattering,96
 Scattering parameters,96
 Simulation,96
 Tools,96
 Transmission line matrix methodsCircuit simulation,96
 Computer aided software engineering,96
 Computer programming,96
 Open source software,96
 Open systems,96
 Photonic devices,96
 Timing circuits,96
 Transceivers,96
 Deep knowledge,96
 Free and open source softwares,96
 Open sources,96
 Photonic integrated circuits,96
 Plug-ins,96
 Photonic integration technology,96
Adaptive thinking,97
 Aptitudes,97
 Creative thinking,97
 Design thinking,97
