author_ids,title,source_title,article_no,cited_count,doi,abstract,document_type,keywords
"['57193338296', '57194692502', '57202017958', '57205128747', '55829396600']",Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,Journal of Cleaner Production, 122465,,10.1016/j.jclepro.2020.122465,"Climate change caused by excessive CO2 emissions in the atmosphere has attracted widespread public concern in recent years. Current industrial methods generally utilize monoethanolamine for CO2 capture; however, the CO2 regeneration requires a high temperature and energy demand during every adsorption/desorption process, along with material losses. Many solid amines with high capture capacity and stability are developed as adsorbents to overcome the limitations. However, the environmental impacts caused by adsorbents themselves are not holistically considered and discussed; meanwhile, material syntheses and consumptions are also associated with CO2 emission. To determine the environmental impacts and identify hotspots of novel CO2 capture adsorbents, two carbon nanotube supported polyethyleneimine, physically adsorbed and covalently bonded, were compared with traditional monoethanolamine method using life cycle assessment. The carbon payback periods were also analyzed to gain understanding on whether the currently evaluated novel materials are suitable for industrial application. Results suggest that, material usage, especially carbon nanotubes, contributes the majority of the overall environmental impacts for both types of carbon nanotube supported polyethyleneimine. Meanwhile, their carbon payback periods are over 40 times longer than monoethanolamine during the synthesis phase. However, the energy consumption of physically adsorbed polyethyleneimine saves up to 60% compared to monoethanolamine in every adsorption/desorption cycle due to its lower heat capacity. In addition, the rate of cumulative CO2 remission for carbon nanotube supported polyethyleneimine is twice higher than monoethanolamine, indicating the potential application for industrial CO2 capture. Overall, our study indicates that current status of solid amine has a potential in CO2 capture, but requires much improvements. Future research should pay attention on decreasing the initial material synthesis and increasing the product life time due to their high environmental tradeoffs. Meanwhile, our study highlights that unilateral emphasis of the CO2 capture efficiency by novel materials may not be adequate, comprehensive considerations should be focused on the comparison throughout material life cycles including use and preparation phases. © 2020 Elsevier Ltd",Article,"['Carbon nanotube', ' CO2 capture', ' Life cycle assessment', ' Payback period', ' Solid amineAmines', ' Carbon dioxide', ' Carbon nanotubes', ' Climate change', ' Energy utilization', ' Environmental technology', ' Ethanolamines', ' Investments', ' Life cycle', ' Specific heat', ' Adsorption/desorption', ' Covalently bonded', ' High temperature', ' Industrial methods', ' Material synthesis', ' Monoethanolamine', ' Polyethyleneimine', ' Preparation phasis', ' Environmental impact']"
"['57201634652', '57218685929', '18535712500']",Investigating steel tool life in the RFSSW process,Journal of Manufacturing Processes,,,10.1016/j.jmapro.2020.07.034,"Refill Friction Stir Spot Welding (RFSSW) has demonstrated capability in joining thin sheets of aluminum with dissimilar thickness, alloy, and composition. The process remains to be implemented on a wide scale in the automotive and aerospace industries, partially due to the relatively short number of welds producible by a toolset, prior to needing cleaning. In the following work, an investigation was conducted to better understand this limitation. First, the effective tool life of a steel toolset was quantified. Experiments showed that less than 60 consecutive welds could be made before the toolset seized and required cleaning. To better understand the conditions contributing so such a short tool life, thermocouples were used in subsequent experiments, to measure the temperatures achieved at various locations in the weld. Peak weld temperature increased with longer cycle times and decreased with shorter cycle times. During the experiments, it was noted that weld temperatures in excess of 500 °C were observed at weld center. At these high temperatures, the authors anticipate that intermetallic compounds (IMCs) are able to grow on tool surfaces. A rough, existing model of IMC growth in an Fe-Al system predicted IMC growth on the same order of magnitude of the tool clearances, supporting the anticipation that IMC growth is a factor in the observed, short tool life between cleanings. Following this analysis, future evaluation of less re-active tool materials is recommended. © 2020 The Society of Manufacturing Engineers",Article,"['FSpW', ' Refill friction stir spot welding', ' RFSSW', ' Temperature', ' Tool lifeAerospace industry', ' Aluminum alloys', ' Aluminum coated steel', ' Automotive industry', ' Cleaning', ' Spot welding', ' Thermocouples', ' Tool steel', ' Welds', ' Effective tool', ' Friction stir spot welding', ' High temperature', ' Steel tools', ' Thin sheet', ' Tool materials', ' Tool surfaces', ' Weld temperature', ' Friction stir welding']"
"['56248593800', '10640480600', '24923036100', '7201675107']","Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",IEEE Robotics and Automation Letters, 9137660,,10.1109/LRA.2020.3008140,"Providing persistent intelligence, reconnaissance, and surveillance of targets is a challenging, but important task when time-critical information is required. In this letter, we provide a decentralized routing algorithm for coordinating multiple autonomous vehicles as they visit a discrete set of pre-defined targets with weighted revisit priorities. The algorithm utilizes a block coordinate ascent algorithm combined with a Monte Carlo tree search to tractably decide each vehicle's route. The result is a non-myopic algorithm for multiple vehicles that is decentralized, computationally tractable, and allows for target prioritization. Guarantees are provided that all targets will have finite revisit times and that the block coordinate ascent algorithm will converge to a block optimal solution. Numerical simulations illustrate the utility of this method by showing that the results are comparable to those of a centralized exhaustive search and that they degrade gracefully with limited communication and scale under increasing numbers of targets and vehicles. © 2016 IEEE.",Article,"['Cooperating robots', ' multi-robot systems', ' path planning for multiple mobile robots or agentsAgricultural robots', ' Numerical methods', ' Trees (mathematics)', ' Coordinate ascent', ' Decentralized routing', ' Intelligence , surveillance , and reconnaissances', ' Limited communication', ' Monte-Carlo tree searches', ' Multiple autonomous vehicles', ' Myopic algorithm', ' Optimal solutions', ' Autonomous vehicles']"
"['36149254500', '57191155872', '56681156600', '7201741468', '35088650000', '7402786794']",In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,Optical Fiber Technology, 102334,,10.1016/j.yofte.2020.102334,"In previous experiments, the authors demonstrated that strain values collected from fiber Bragg gratings (FBG) integrated into a single layer of Kevlar fabric, placed between a soft armor test specimen and backing material, could be related to the time dependent back-face deformation (BFD) of the armor sample. In this paper, we investigate the specific fabric deformation and failure mechanisms that cause observed events in the FBG measured strain behavior and the FBG spectral profile throughout the impact event. For these experiments, the standard clay backing material was replaced with a 20% clear ballistic gel to provide visual access to the back-face. The test specimen was impacted by an 8.24 g steel ball bearing travelling at 248.8 m/s, during which strain was calculated from the measured full spectrum response of the FBG using a high-speed optical interrogation system. The strain response was compared to the BFD of the Kevlar sample. The BFD was measured through the clear ballistic gel using two high speed cameras recording at 100,000 fps. The results from these tests can be used for future testing using a non-transparent backing material to obtain a detailed strain–time history, back-face deformation history and an understanding of the time sequence of physical energy dissipation mechanisms in the fabric. © 2020 Elsevier Inc.",Article,"['Fiber Bragg Grating', ' High speed measurements', ' Optical fiber sensorsArmor', ' Ballistics', ' Deformation', ' Energy dissipation', ' Failure (mechanical)', ' High speed cameras', ' Backing materials', ' Ballistic fabric', ' Fabric deformations', ' Face deformations', ' Optical interrogation', ' Spectral profile', ' Strain behaviors', ' Strain response', ' Fiber Bragg gratings']"
"['56330168500', '9942259800', '57201257192', '56260937200', '57081918700', '55487415500']",An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,Computer Methods in Applied Mechanics and Engineering, 113283,,10.1016/j.cma.2020.113283,"We develop a mixed geometrically nonlinear isogeometric Reissner–Mindlin shell element for the analysis of thin-walled structures that leverages Bézier dual basis functions to address both shear and membrane locking and to improve the quality of computed stresses. The accuracy of computed solutions over coarse meshes, that have highly non-interpolatory control meshes, is achieved through the application of a continuous rotational approach. The starting point of the formulation is the modified Hellinger–Reissner variational principle with independent displacement, membrane, and shear strains as the unknown fields. To overcome locking, the strain variables are interpolated with lower-order spline bases while the variations of the strain variables are interpolated with the corresponding Bézier dual bases. Leveraging the orthogonality property of the Bézier dual basis, the strain variables are condensed out of the system with only a slight increase in the bandwidth of the resulting linear system. The condensed approach preserves the accuracy of the non-condensed mixed approach but with fewer degrees of freedom. From a practical point of view, since the Bézier dual basis is completely specified through Bézier extraction, any spline space that admits Bézier extraction can utilize the proposed approach directly. © 2020 Elsevier B.V.",Article,"['Bézier extraction', ' Dual basis', ' Isogeometric analysis', ' Locking', ' Reissner–Mindlin', ' ShellsDegrees of freedom (mechanics)', ' Extraction', ' Functions', ' Linear systems', ' Quality control', ' Strain', ' Thin walled structures', ' Coarse meshes', ' Control meshes', ' Geometrically nonlinear', ' Interpolatory', ' Mixed approach', ' Orthogonality properties', ' Shear and membrane locking', ' Variational principles', ' Locks (fasteners)']"
"['7202083837', '57210290270', '57210288045', '57210287166', '57211254337', '57210292389', '57218761022', '35147940600']",Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,IEEE Vehicular Technology Magazine, 9138482,,10.1109/MVT.2020.3002494,This article highlights the potential contribution of physical-layer security in making vehicle-to-infrastructure (V2I) and vehicle-to-vehicle (V2V) networks more secure against eavesdropping. We showcase a set of experiments using a mobile testbed for both types of networks and demonst rate that finite block-length physical-layer security coding increases the security while maintaining reliable communications. The fundamental tradeoffs in achieving both reliability and security through physical-layer efforts are also discussed in terms of relative eavesdropper location in an urban environment. © 2020 IEEE.,Article,
"['57201912667', '7202282831', '57218107757', '57198832579', '57218097969', '7003302831', '16066928300']",High-Speed Acoustic Impact-Echo Sounding of Concrete Bridge Decks,Journal of Nondestructive Evaluation, 58,,10.1007/s10921-020-00695-0,"Evaluation of deteriorating highway bridges requires new, rapid inspection methods to effectively guide repair in an era of limited fiscal resources. Of all the components of a bridge, the bridge deck typically deteriorates most quickly and must therefore be regularly inspected for non-visible internal cracking, called delamination, for which early detection and repair can enhance safety and performance as well as reduce long-term maintenance costs. This research demonstrates the development and deployment of a multi-channel acoustic impact-echo sounding apparatus equipped with specially-configured tire chains for acoustic excitation of the concrete, microphones, an array of sensors for establishing spatial position estimates, and a data processing architecture for accurately detecting and mapping delaminations in concrete bridge decks at high speeds. The new apparatus achieved very accurate results at speeds between 25 and 45 km/h across a bridge deck. These results demonstrate an orders-of-magnitude increase in data collection speed over all other acoustic impact-echo sounding techniques described in the literature. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Article,"['Acoustic', ' Concrete bridge deck', ' Delamination', ' Impact-echo', ' SoundingBridge decks', ' Computer architecture', ' Concrete bridges', ' Concretes', ' Data handling', ' Acoustic excitation', ' Data processing architecture', ' Detection and repairs', ' Inspection methods', ' Internal cracking', ' Long-term maintenances', ' Orders of magnitude', ' Sounding techniques', ' Repair']"
['57213342768'],"Managing Production Yields and Rework through Feedback on Speed, Quality, and Quantity",Production and Operations Management,,,10.1111/poms.13221,"Balancing priorities of production speed and conformance quality is an ongoing challenge in production and operations management. Organizations may emphasize these priorities through various forms of performance feedback. However, the impacts of using feedback to emphasize speed, quality, and quantity remain unclear in production settings. This study employs controlled laboratory experiments to examine the impact of real-time feedback on production quantities, first time yield percentages, and rework percentages. Drawing on concepts from speed-accuracy tradeoffs, we study four types of feedback: speed, accuracy, joint speed and accuracy, and yields. Laboratory activities focus on the repetitive task of converting paper-based medical records to electronic data formats. These tasks are critical inputs to data analytics and are similar in nature to simple independent manufacturing and service tasks. We study feedback effects in a setting critical to practice but rarely studied in research, where workers are incentivized for both speed and quality as they perform production tasks that explicitly allow rework. The results show that production yields worsen under speed feedback but improve under each form of quality-containing feedback. Results also show that each form of quality-containing feedback increases the proportion of correctly reworked to produced errors through different mechanisms of increased error fixing, decreased error production, or both. © 2020 Production and Operations Management Society",Article,
"['56584019300', '57217581937', '57214937519', '57217581770', '55542008600', '56714263700', '8608718200']","Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",Applied Thermal Engineering, 115658,,10.1016/j.applthermaleng.2020.115658,"Origami-inspired, dynamic spacecraft radiators have been proposed which utilize an expandable/collapsible surface capable of large variations in emitting surface area. In this work, an experimental prototype of this concept is realized and its performance is analyzed. In particular, we demonstrate the capability of maintaining a spacecraft component at a desired operating temperature through the expansion and contraction of a collapsible radiator to control radiative heat loss. Four aluminum panels are connected via a flexible hinge constructed from interwoven copper wires and suspended from an actuating framework. The radiator panels are connected to a heated aluminum block. The radiator is placed in a vacuum environment with cooled surroundings (173 K) and the total radiative cooling power is determined as a function of radiator actuation position for a constant aluminum block temperature. As the radiator actuates from extended to collapsed, the heat transfer decreases and the fin efficiency increases. For a limited actuation range, the four-panel radiator exhibits a turn-down ratio (largest cooling power / smallest cooling power) of 1.31. A numerical model validated in this work predicts a turn-down ratio of 2.27 for actuation over the full range of radiator positions in surroundings at 4 K. Future revisions that exhibit an increase in panel and hinge thermal conductivities and utilizing eight panels would yield a turn-down ratio of 6.01. Assuming infinite thermal conductivity and infinite hinge conductance, the turn-down ratios for two, four and eight panel radiators, respectively, are 2.00, 3.98, and 7.92. © 2020 Elsevier Ltd",Article,"['Active thermal control', ' Deployable radiator', ' Spacecraft thermal controlAluminum', ' Energy efficiency', ' Heat losses', ' Hinges', ' Meteorology', ' Radiative Cooling', ' Thermal conductivity', ' Expansion and contraction', ' Experimental demonstrations', ' Experimental prototype', ' Operating temperature', ' Radiative heat loss', ' Spacecraft components', ' Spacecraft radiators', ' Vacuum environment', ' Radiators']"
"['17341858700', '42062742100', '55802018400', '36515506800', '56735940800']",Quantum Materials for Energy-Efficient Computing,JOM,,,10.1007/s11837-020-04293-3,[No abstract available],Note,
"['57194874146', '8935141300', '57194231165', '6601976036', '35547089300', '7004479819', '55413647400', '55739722900', '7201970805']",A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,Journal of Cleaner Production, 121786,,10.1016/j.jclepro.2020.121786,"This research is designed to make progress in overcoming the challenges through the development of a two-stage coal processing. Specifically, a two-stage process was used to maximize the use of the carbon in coal or increase the carbon monoxide yield or lower carbon dioxide and methane yields. Carbon dioxide-char gasification in the absence of water can generate carbon monoxide with near-zero methane, which is desired to produce high-carbon and low-hydrogen chemicals such as oxalic acid through catalytic carbon monoxide coupling and hydrolysis. The technology is applicable to any coal, although Power River Basin (PRB) coal is used as an example feedstock in this research Also, the sodium-iron catalyst can accelerate not only the reaction kinetics in both stages but also increase the hydrogen/carbon monoxide ratio in the syngas produced in the second stage. In other words, the catalyst is a multifunctional agent, which can not only intensify the overall coal process efficiency but also improve the qualities of the desired syngas products and reduce carbon dioxide emission. Thus, In the 1st stage, the catalysts can significantly reduce the CO2-char gasification by as high as 75.00%. In the 2nd stage, the H2/CO ratio of ideal syngas is ∼2:1 with near-0 CH4 generation and the CH4 production can be reduced as high as 61.29% for the CO2–H2O-Char coal gasification. The activation energy for the 2nd stage is reduced by as high as 35.43% than that of raw coal without use Na–Fe catalyst. The overall carbon footprint reduction for the study is reduced by 87.33% in the 1st stage and 96.77% compared to the direct coal combustion. © 2020 Elsevier Ltd",Article,"['Catalysis', ' CO2 reduction', ' Coal', ' Gasification', ' Ideal syngas', ' PyrolysisActivation energy', ' Carbon dioxide', ' Carbon dioxide process', ' Carbon footprint', ' Carbon monoxide', ' Catalysts', ' Coal', ' Global warming', ' Iron research', ' Methane', ' Oxalic acid', ' Reaction kinetics', ' Synthesis gas', ' Synthesis gas manufacture', ' Carbon and hydrogens', ' Carbon dioxide emissions', ' Carbon footprint reductions', ' Char gasification', ' Multifunctional agents', ' Process efficiency', ' Syngas production', ' Two-stage process', ' Coal combustion']"
"['57217041570', '57200117690', '57207689986', '57200699937', '7202316035', '7102975249', '35209941000']","Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",Midwest Symposium on Circuits and Systems, 9184626,,10.1109/MWSCAS48704.2020.9184626,"Pulse shapers are widely used in particle detector applications to reduce the rise and fall times of the pulse signal and to remove noise from the frontend amplifiers. We demonstrate a low-noise, low-power pulse shaper employing an active lowpass Salley-Key biquad filter, passive highpass filter, and input/output buffers. The design process is described to generate the desired transfer characteristic while incorporating tuning knobs to adapt the shaper characteristic to the needs of different applications. Utilizing only a single 1.8-V supply, the shaper consumes 1.5 mW and achieves an input-referred noise of 17 µVrms, both the lowest among state-of-the-art. The power efficiency normalized to bandwidth and noise is nearly 1.7× better than the next best design. © 2020 IEEE.",Conference Paper,"['bandpass filter', ' biquad filter', ' particle detector', ' pulse shaping', ' Sallen-Key', ' ShaperHigh pass filters', ' Particle detectors', ' Biquad filter', ' Design process', ' Front-end amplifier', ' Particle detection', ' Power efficiency', ' Pulse signal', ' State of the art', ' Transfer characteristics', ' Pulse shaping']"
